ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
-375333;1361;PODGORJE;SEVNICA;421/2;7;;;1/1;;1744;;
-375329;1380;ŠMARJE;SEVNICA;111/5;5;;;1/1;;679;;
-375326;1391;LOG;SEVNICA;2148/4;3;;;1/1;;633;;
-375326;1391;LOG;SEVNICA;*342;5;;;1/1;;310;;
-375324;1380;ŠMARJE;SEVNICA;89/5;3;;;1/1;;723;;
-375324;1380;ŠMARJE;SEVNICA;88/1;5;;;1/1;;132;;
-375322;1391;LOG;SEVNICA;1772;7;;;1/1;;2309;;
-375320;1397;TRŽIŠČE;SEVNICA;1850/6;3;;;1/1;;3992;;
-375317;1366;LEDINA;SEVNICA;704/3;5;;;1/1;;985;;
-375316;1364;LOKA PRI ZIDANEM MOSTU;SEVNICA;110/2;3;;;1/1;;102;;
-375316;1364;LOKA PRI ZIDANEM MOSTU;SEVNICA;2/7;3;;;1/1;;358;;
-375316;1364;LOKA PRI ZIDANEM MOSTU;SEVNICA;*114;5;;;1/1;;58;;
-375300;1834;KONJ;LITIJA;237/1;3;;;34/100;;2227;;
-375304;1391;LOG;SEVNICA;2120/1;7;;;1/1;;3451;;
-375301;1840;POLŠNIK;LITIJA;762;5;;;1/1;Hiša še ni bila nikoli vseljena.;2892;;
-375301;1840;POLŠNIK;LITIJA;761;5;;;1/1;Hiša še ni bila nikoli vseljena.;53;;
-375293;829;DRAVOGRAD;DRAVOGRAD;898/1;5;;;1/1;;9;;
-375298;1850;JEŽNI VRH;ŠMARTNO PRI LITIJI;691/2;5;;;1/1;Stavba še ni vrisana v kataster stavb.;2003;;
-375295;849;STARI TRG;SLOVENJ GRADEC;1034/1;5;;;1/1;;585;;
-375294;832;GORIŠKI VRH;DRAVOGRAD;507;3;;;1/1;;1002;;
-375293;829;DRAVOGRAD;DRAVOGRAD;898/1;5;;;1/1;;9;;
-375293;829;DRAVOGRAD;DRAVOGRAD;898/1;5;;;1/1;;9;;
-375289;889;MEŽICA;MEŽICA;167;5;;;1/2;;701;;
-375291;849;STARI TRG;SLOVENJ GRADEC;87/4;3;;;1/1;;49;;
-375291;849;STARI TRG;SLOVENJ GRADEC;88/4;3;;;1/1;;1809;;
-375291;849;STARI TRG;SLOVENJ GRADEC;87/5;3;;;1/1;;441;;
-375288;239;KRAPJE;LJUTOMER;556/113;7;;;1/1;;238;;
-375288;239;KRAPJE;LJUTOMER;556/243;7;;;1/1;;46;;
-375286;234;VERŽEJ;VERŽEJ;1326;7;;;1/1;;3758;;
-375285;237;GRLAVA;LJUTOMER;672;7;;;1/1;;9120;;
-375283;259;LJUTOMER;LJUTOMER;1081/4;3;;;1/1;;6385;;
-375281;273;PRISTAVA;LJUTOMER;376/2;3;;;1/1;;3645;;
-375279;259;LJUTOMER;LJUTOMER;2291/11;3;;;1/1;;81;;
-375277;262;DESNJAK;LJUTOMER;72/1;7;;;2/3;;7340;;
-375279;259;LJUTOMER;LJUTOMER;2291/10;3;;;1/1;;53;;
-375279;259;LJUTOMER;LJUTOMER;2291/12;3;;;1/1;;403;;
-375279;259;LJUTOMER;LJUTOMER;2291/13;3;;;1/1;;38;;
-375278;241;CVEN;LJUTOMER;527;7;;;1/1;;11919;;
-375278;241;CVEN;LJUTOMER;184;7;;;1/1;;8122;;
-375277;262;DESNJAK;LJUTOMER;70;7;;;2/3;;4355;;
-375277;262;DESNJAK;LJUTOMER;71;7;;;2/3;;6670;;
