ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Interna oznaka oddanih prostorov;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta oddanih prostorov;Opremljenost oddanih prostorov;Mikrolokacija oddanih prostorov;Izložba;Nakupovalni center;Površina oddanih prostorov;Površina oddanih prostorov enaka delu stavbe;Pogodbena najemnina posameznih oddanih prostorov;Opombe o oddanih prostorih;Leto izgradnje stavbe;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina dela stavbe;Prostori dela stavbe;Uporabna površina oddanih prostorov;Gostinski vrt;Vključenost gostinskega vrta v najemnino;Površina gostinskega vrta
292774;678;SPODNJE RADVANJE;MARIBOR;2916;80;S80;MARIBOR;ULICA EVE LOVŠE;6;;80;2;1;;;;147;;;Oddaja se dvosobno stanovanje št. S80, v 17. nadstropju stavbe na naslovu Ulica Eve Lovše 6, 2000 Maribor ter dve parkirni mesti v podzemni garaži z oznako K2.PM82, v 2. kleti v izmeri 12,50 m2 ter in z oznako K2.PM80, v 2. kleti v ozmeri 12,50 m2;2009;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;4;147;123; bivalni prostor | klet | zaprta terasa, balkon, loža;;;;
292774;678;SPODNJE RADVANJE;MARIBOR;2916;161;K2.PM82;;;;;161;3;0;;;;12,5;;;cena najema je del pogodbene najemnine stanovanja;2009;1242003 - Pokrito parkirišče;klet;;12,5;12,5; parkirni prostor;;;;
292774;678;SPODNJE RADVANJE;MARIBOR;2916;163;K2.PM80;;;;;163;3;0;;;;12,5;;;Cena najema je del pogodbene najemnine stanovanja;2009;1242003 - Pokrito parkirišče;klet;;12,5;12,5; parkirni prostor;;;;
338256;753;SLOVENSKA BISTRICA;SLOVENSKA BISTRICA;2141;1;;SLOVENSKA BISTRICA;TRG SVOBODE;15;;1;8;0;2;;;50;;;;1500;1110003 - Stanovanje, ki se nahaja v vmesni vrstni hiši;nadstropje;4;153,9;122; bivalni prostor | odprta terasa, balkon, loža;;;;
338354;2713;OB ŽELEZNICI;MARIBOR;141;1;;;;;;;5;0;2;;;150;;;;1960;1274002 - Nadstrešnica;pritličje;;469,6;469,6;-;;;;
338355;680;TEZNO;MARIBOR;5293;1;;;;;;;11;0;;;;317;;;;1947;1251001 - Industrijski del stavbe;pritličje;;317;317;-;;;;
339113;2490;POSTOJNA;POSTOJNA;776;9;;POSTOJNA;VOLARIČEVA ULICA;6;;9;2;0;;;;33,7;;;;1959;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;1;39;31,4; bivalni prostor | klet | odprta terasa, balkon, loža;;;;
338650;1959;DOMŽALE;DOMŽALE;4323;1;;DOMŽALE;LJUBLJANSKA CESTA;90;;1;2;1;;;;32,5;1;;;1991;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;1;38,7;32,5; Klet, shramba | Zaprt balkon;;;;
338657;2175;JESENICE;JESENICE;484;7;;JESENICE;CESTA MARŠALA TITA;39;;7;2;0;;;;60,2;;;;1980;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;2;60,2;53,1; Klet, shramba | Zaprt balkon;;;;
338664;716;RAČE;RAČE-FRAM;2041;3;;RAČE;MARIBORSKA CESTA;38;;3;2;0;;;;49,4;;;;2009;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;2;57,1;49,4; Odprta loža;;;;
338664;716;RAČE;RAČE-FRAM;2041;23;;RAČE;MARIBORSKA CESTA;38;;23;4;0;;;;3,1;;3,1;;2009;1274003 - Klet;pritličje;;3,1;3,1;-;;;;
338686;1082;TEHARJE;ŠTORE;1212;30;;ŠTORE;ULICA CVETKE JERIN;1;;30;2;0;;;;56,1;;;;1982;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;2;56,1;50,6; Klet, shramba | Odprt balkon;;;;
338687;692;SPODNJI DUPLEK;DUPLEK;1147;102;;SPODNJI DUPLEK;CESTA K DRAVI;3;A;102;2;0;;;;42;;;;2008;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;1;63,1;54,6; Klet, shramba | Odprta loža;;;;
338688;692;SPODNJI DUPLEK;DUPLEK;1147;119;;SPODNJI DUPLEK;CESTA K DRAVI;3;A;119;2;0;;;;42;;;;2008;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;1;68,9;53,7; Klet, shramba | Odprta loža;;;;
338692;1082;TEHARJE;ŠTORE;1894;17;;ŠTORE;KOVINARSKA ULICA;7;A;17;2;0;;;;47,75;;;;2009;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;1;47,8;35,5; Drugo | Klet, shramba | Odprta loža | Stopnišče;;;;
339039;659;TABOR;MARIBOR;2851;115;;MARIBOR;CESTA PROLETARSKIH BRIGAD;60;;115;2;0;;;;58,45;;;;1979;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;2;58,5;55,4; Klet, shramba | Odprta loža;;;;
339043;1006;LATKOVA VAS;PREBOLD;1153;70;;LATKOVA VAS;LATKOVA VAS;86;B;204;2;0;;;;33,7;;;;2009;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;2;42,1;33,7; Klet, shramba | Odprt balkon;;;;
339044;1077;CELJE;CELJE;1712;9;;CELJE;STANETOVA ULICA;21;;9;2;0;;;;56,9;;;;1885;1230104 - Prodajalna;pritličje;;59,1;56,5;-;;;;
339045;657;MARIBOR-GRAD;MARIBOR;741;7;;MARIBOR;PARTIZANSKA CESTA;59;;7;2;0;;;;53,3;;;;1964;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;2;53,3;47,3; Klet, shramba | Odprt balkon;;;;
339049;2650;DEBRO;LAŠKO;407;11;;LAŠKO;BADOVINČEVA ULICA;14;;11;2;0;;;;56,9;;;;1983;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;2;56,9;51,5; Klet, shramba | Odprta loža;;;;
339050;680;TEZNO;MARIBOR;393;116;;MARIBOR;PRVOMAJSKA ULICA;9;A;116;2;0;;;;50;;;;1963;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;2;58,7;48,4; Klet, shramba | Zaprt balkon;;;;
339051;2175;JESENICE;JESENICE;3;13;;JESENICE;ULICA STANETA BOKALA;5;;13;2;0;;;;84;;;;1948;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;3;85,8;74,4; Klet, shramba | Odprt balkon;;;;
339052;678;SPODNJE RADVANJE;MARIBOR;1330;3;;MARIBOR;KNAFELČEVA ULICA;32;;41;2;0;;;;71,2;;200;;1978;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;;;71,2;66,2; Odprt balkon;;;;
339055;692;SPODNJI DUPLEK;DUPLEK;1147;212;;SPODNJI DUPLEK;CESTA K DRAVI;3;B;212;2;0;;;;45,9;;;;2008;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;1;62,8;45,9; Klet, shramba | Odprt balkon;;;;
339058;1082;TEHARJE;ŠTORE;1894;6;;ŠTORE;KOVINARSKA ULICA;7;A;6;2;0;;;;62,4;;;;2009;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;1;62,4;35,7; Drugo | Klet, shramba | Odprta loža | Odprta terasa | Stopnišče;;;;
339060;2606;SEMEDELA;KOPER;943;1;;KOPER;PRISOJE;6;;1;2;0;;;;41;;;;1975;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;1;41;30; Drvarnica | Klet, shramba | Odprt balkon;;;;
339064;681;POBREŽJE;MARIBOR;203;10;;MARIBOR;ZRKOVSKA CESTA;12;;10;2;0;;;;44,9;;;;1964;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;2;44,9;36,4;-;;;;
339065;678;SPODNJE RADVANJE;MARIBOR;545;105;;MARIBOR;LJUBLJANSKA ULICA;88;B;41;2;0;;;;34;;;;1967;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;1;37,6;34; Klet, shramba;;;;
298299;2017;DOLENJI LOGATEC;LOGATEC;423;2;;LOGATEC;CANKARJEVA CESTA;3;;1;6;0;2;;;54;;;;1929;1230104 - Prodajalna;pritličje;;54;54; lokal, prodajalna;;;;
333493;2315;ŠEMPETER;ŠEMPETER-VRTOJBA;1380;2;GO-IMPEX d.o.o.;ŠEMPETER PRI GORICI;POLJE;5;;2;10;0;;;;1200;;;5. dodatek k pogodbi št. 15050-002-15;1974;1265001 - Športna dvorana;pritličje;;6355,6;6355,6;-;;;;
333493;2315;ŠEMPETER;ŠEMPETER-VRTOJBA;1038;1;GO-IMPEX d.o.o.;;;;;;11;0;;;;3794,31;;;;1972;1251001 - Industrijski del stavbe;pritličje;;10177,6;10177,6;-;;;;
303679;2606;SEMEDELA;KOPER;142;3;;KOPER;NOVA ULICA;2;;3;16;0;;;;13;0;40,5;;1958;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;1;30,2;22,2;-;;;;
303680;2606;SEMEDELA;KOPER;142;3;;KOPER;NOVA ULICA;2;;3;16;0;;;;13;0;50,5;;1958;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;1;30,2;22,2;-;;;;
385427;1871;TRBOVLJE;TRBOVLJE;2935;1;;TRBOVLJE;NASIPI;3;;1;2;0;;;;52,1;;;;1927;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;1;52,1;52,1; bivalni prostor;52,1;;;
385428;1855;HRASTNIK-MESTO;HRASTNIK;762;216;;HRASTNIK;TRG FRANCA KOZARJA;14;A;216;2;0;;;;61,7;;;;1985;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;2;61,7;61,7; bivalni prostor;61,7;;;
385429;1855;HRASTNIK-MESTO;HRASTNIK;701;110;;HRASTNIK;LOG;12;;110;2;0;;;;63,2;;;;1960;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;2;63,2;59,1; bivalni prostor | klet;59,1;;;
385430;2636;BEŽIGRAD;LJUBLJANA;8089;23;;LJUBLJANA;VILHARJEVA CESTA;29;;502;5;0;3;;;190,14;;;;1997;1220301 - Poslovni prostori;nadstropje;;552,1;533; poslovni prostor;;;;
385431;2131;STRAŽIŠČE;KRANJ;794;1;;KRANJ;ŠKOFJELOŠKA CESTA;12;;;9;0;2;;;152,21;;;;1950;1265001 - Športna dvorana;pritličje;;130,4;130,4; poslovni prostor;;1;1;91,26
385432;2636;BEŽIGRAD;LJUBLJANA;8089;144;AP2-119;;;;;;3;0;;;;12,3;;;;1997;1242003 - Pokrito parkirišče;klet;;12,3;12,3; parkirni prostor;;;;
385432;2636;BEŽIGRAD;LJUBLJANA;8089;145;AP2-120;;;;;;3;0;;;;12,3;;;;1997;1242003 - Pokrito parkirišče;klet;;12,3;12,3; parkirni prostor;;;;
385433;2002;VRHNIKA;VRHNIKA;736;10;;VRHNIKA;POŠTNA ULICA;7;A;10;2;0;;;;33,82;;;;1973;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;1;33,8;30,3; bivalni prostor | klet | odprta terasa, balkon, loža;;;;
385434;1800;PODGORA;DOBREPOLJE;378;1;1995;VIDEM;VIDEM;70;B;;14;1;;;;100;;;;1995;1271401 - Drug kmetijski del stavbe;pritličje;;479,9;479,9; kmetijski prostor;100;;;
385435;850;SLOVENJ GRADEC;SLOVENJ GRADEC;1676;11;11;SLOVENJ GRADEC;GLAVNI TRG;29;;11;8;0;2;;;115,4;;;;1820;1211202 - Restavracija, gostilna;pritličje;0;115,4;115,4; lokal, prodajalna;115,4;;;
385436;1077;CELJE;CELJE;387;6;;Celje;Nušičeva ulica;2;B;6;2;1;;;;28;1;;;1975;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;1;28;28; bivalni prostor | klet | shramba, sušilnica, pralnica | zaprta terasa, balkon, loža;;;;
385437;1074;SPODNJA HUDINJA;CELJE;1371;67;;Celje;Kraigherjeva ulica;7;;67;2;1;;;;48;;;;1978;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;2;46,5;46,5; bivalni prostor | klet | odprta terasa, balkon, loža;;;;
385438;2606;SEMEDELA;KOPER;106;23;;KOPER;TOMŠIČEVA ULICA;4;;23;7;1;3;;;23,42;;;;1967;1264002 - Klinika, ambulanta;nadstropje;;184,8;131; poslovni prostor;;;;
385439;2606;SEMEDELA;KOPER;106;23;;Koper;Tomšičeva ulica;4;;23;7;1;;;;27,97;0;;;1967;1264002 - Klinika, ambulanta;nadstropje;;184,8;131; poslovni prostor;;;;
385440;1422;TREBNJE;TREBNJE;1524;305;1122103;TREBNJE;GUBČEVA CESTA;35;;305;2;1;;;;26,7;;;;2003;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;mansarda;1;26,7;26,7; bivalni prostor;26,7;;;
385441;2207;BOVEC;BOVEC;1046;14;;Bovec;Ledina;3;;14;8;0;2;;;45;;;;1984;1242001 - Samostoječa garaža, vrstna garaža;drugo;;179,7;179,7; lokal, prodajalna;;;;
385442;2207;BOVEC;BOVEC;1046;14;;Bovec;Ledina;3;;14;8;0;2;0;;45;0;;;1984;1242001 - Samostoječa garaža, vrstna garaža;drugo;;179,7;179,7; lokal, prodajalna;;;;
385443;2207;BOVEC;BOVEC;1046;14;;BOVEC;LEDINA;3;;14;8;0;2;0;0;27;0;;;1984;1230401 - Prostori za storitvene dejavnosti;drugo;;179,7;179,7; lokal, prodajalna;;;;
385444;964;VELENJE;VELENJE;4725;2;;VELENJE;CESTA SIMONA BLATNIKA;16;;2;5;1;2;;;160,23;;;;1999;1230105 - prodajalna polizdelkov;pritličje;;302,8;302,8; lokal, prodajalna;160,23;;;
385444;964;VELENJE;VELENJE;4725;3;;VELENJE;CESTA SIMONA BLATNIKA;16;;3;5;1;2;;;287;;;;1999;1230105 - prodajalna polizdelkov;pritličje;;287;287; lokal, prodajalna;287;;;
385444;964;VELENJE;VELENJE;4725;13;;VELENJE;CESTA SIMONA BLATNIKA;16;;8;5;1;3;;;8,2;;;;1999;1230105 - prodajalna polizdelkov;nadstropje;;174,1;174,1; lokal, prodajalna;8,2;;;
385447;2606;SEMEDELA;KOPER;1276;26;E22;KOPER;ŠMARSKA CESTA;5;C;26;7;1;3;;;81,8;;;;2000;1220301 - Poslovni prostori;nadstropje;;81,8;81,8; poslovni prostor;81,8;;;
385449;532;LENART V SLOVENSKIH GORICAH;LENART;1134;3;;;;;;;8;0;;;;57,3;1;;;1995;1251001 - Industrijski del stavbe;pritličje;;57,3;57,3; proizvodni prostor;;;;
385450;105;MURSKA SOBOTA;;2632;1;;;;;;;5;1;2;;;408,94;;;;1977;1251001 - Industrijski del stavbe;pritličje;;9641,2;9641,2; proizvodni prostor;408,94;;;
385451;1728;LJUBLJANA MESTO;LJUBLJANA;388;1;01;LJUBLJANA;GORNJI TRG;42;;;6;0;2;;;40;;;;1700;1110002 - Stanovanje, ki se nahaja v krajni vrstni hiši;nadstropje;4;140;138,8; bivalni prostor | garaža | klet | odprta terasa, balkon, loža;40;;;
385452;2392;AJDOVŠČINA;AJDOVŠČINA;676;7;7;AJDOVŠČINA;TOVARNIŠKA CESTA;10;;7;2;1;;;;37,1;;;;1912;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;1;37,1;37,1; bivalni prostor;37,1;;;
385703;1075;OSTROŽNO;CELJE;2197;1;;CELJE;IPAVČEVA ULICA;21;;1;6;1;2;;;500;;;;1960;1220301 - Poslovni prostori;pritličje;;3300;3300; poslovni prostor;500;;;
386104;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;1242003 - Pokrito parkirišče;pritličje;;17279;5729,6; parkirni prostor;;;;
386150;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;1242003 - Pokrito parkirišče;pritličje;;17279;5729,6; parkirni prostor;;;;
386374;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;1242003 - Pokrito parkirišče;pritličje;;17279;5729,6; parkirni prostor;;;;
386403;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;1242003 - Pokrito parkirišče;pritličje;;17279;5729,6; parkirni prostor;;;;
386419;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;1242003 - Pokrito parkirišče;pritličje;;17279;5729,6; parkirni prostor;;;;
386459;1740;SPODNJA ŠIŠKA;LJUBLJANA;3494;9;;LJUBLJANA;VEROVŠKOVA ULICA;55;;8;5;0;3;;;113,4;;;;2005;1220301 - Poslovni prostori;;;693,3;693,3; poslovni prostor;;;;
386459;1740;SPODNJA ŠIŠKA;LJUBLJANA;3494;1;;LJUBLJANA;VEROVŠKOVA ULICA;55;;;4;0;;;;1;;;;2005;13 - Skupna raba;;;733;0; skupni komunikacijski prostor | skupni komunikacijski prostor;;;;
386459;1740;SPODNJA ŠIŠKA;LJUBLJANA;3494;1;;LJUBLJANA;VEROVŠKOVA ULICA;55;;;3;0;;;;1;;;;2005;13 - Skupna raba;;;733;0; skupni komunikacijski prostor | skupni komunikacijski prostor;;;;
386460;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;1242003 - Pokrito parkirišče;pritličje;;17279;5729,6; parkirni prostor;;;;
386486;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;1242003 - Pokrito parkirišče;pritličje;;17279;5729,6; parkirni prostor;;;;
386512;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;1242003 - Pokrito parkirišče;pritličje;;17279;5729,6; parkirni prostor;;;;
386542;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;1242003 - Pokrito parkirišče;pritličje;;17279;5729,6; parkirni prostor;;;;
386564;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;1242003 - Pokrito parkirišče;pritličje;;17279;5729,6; parkirni prostor;;;;
