ID Posla;Vrsta najemnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena najemnina;Vključenost obratovalnih stroškov v najemnino;Vključenost DDV;Stopnja DDV;Datum začetka najema;Datum prenehanja najema;Čas najema;Trajanje najema;Datum zaključka najema /Datum predčasne prekinitve najema;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
37652;1;12.12.2013;14.01.2013;2,34;1;1;2;14.01.2013;;2;;31.08.2018;Razlog predčasnega zaključka : PREKINITEV NAJEMNE POGODBERazlog predčasnega zaključka : PREKINITEV NAJEMNE POGODBE;0;17.09.2018;17.09.2018;1;4
196014;1;06.04.2018;10.12.2014;164,7;0;1;4;01.03.2015;;2;;;;0;06.04.2018;06.04.2018;1;4
303679;1;10.01.2018;29.11.2016;40,5;0;0;;01.01.2017;31.12.2017;1;12;31.12.2017;;0;30.07.2019;10.01.2018;1;4
313943;4;22.03.2017;02.02.2017;173,32;0;0;;02.02.2017;16.01.2020;1;36;16.01.2020;Razlog predčasnega zaključka : Napaka;;17.01.2020;23.01.2018;1;4
339044;1;10.01.2018;01.12.2015;70;0;0;;15.12.2016;;2;;;;0;30.07.2019;10.01.2018;1;4
343304;1;18.03.2018;02.10.2017;750;1;0;;02.10.2017;01.07.2018;1;9;31.05.2018;;;30.07.2019;18.03.2018;1;4
352147;1;08.03.2018;09.05.2017;1386;1;1;4;01.08.2017;;2;;;;0;30.07.2019;08.03.2018;1;4
353199;1;24.01.2018;28.12.2017;150;0;0;;01.01.2018;31.12.2018;1;12;31.12.2018;;0;30.07.2019;24.01.2018;1;4
354086;1;29.11.2018;12.09.2016;550;1;0;;13.09.2016;30.04.2017;1;8;30.04.2017;;0;30.07.2019;29.11.2018;1;4
358450;1;01.01.2018;01.12.2017;375;1;0;;01.12.2017;;2;;30.04.2021;Razlog predčasnega zaključka : sporazumna prekinitev;0;09.05.2021;01.01.2018;1;4
358457;1;02.01.2018;01.01.2018;80;1;0;;01.01.2018;30.12.2018;1;12;30.12.2018;;0;30.07.2019;02.01.2018;1;4
358468;1;02.01.2018;01.12.2017;360;0;0;;01.12.2017;;2;;01.04.2018;..Razlog predčasnega zaključka : prekinitev najema;0;30.07.2019;02.01.2018;1;4
358494;1;03.01.2018;22.06.2017;100;0;0;;01.08.2017;31.07.2019;1;24;31.07.2019;;0;12.07.2021;03.01.2018;2;4
358533;1;03.01.2018;20.12.2017;103,52;1;0;;01.01.2018;31.12.2018;1;12;31.12.2018;;0;30.07.2019;03.01.2018;2;4
358584;1;03.01.2018;30.11.2017;719,36;0;0;;01.12.2017;31.05.2018;1;6;31.05.2018;;;30.07.2019;03.01.2018;1;4
358587;1;03.01.2018;21.12.2017;200;0;0;;21.12.2017;20.12.2018;1;12;20.12.2018;;;12.07.2021;03.01.2018;1;4
358589;1;03.01.2018;30.12.2017;150;0;0;;01.02.2018;31.01.2019;1;12;31.01.2019;;0;12.07.2021;03.01.2018;2;4
358657;1;04.01.2018;31.12.2015;60;0;0;;31.12.2015;30.11.2016;1;11;30.11.2016;;0;12.07.2021;04.01.2018;2;4
358677;1;04.01.2018;01.08.2017;130;0;0;;01.08.2017;31.12.2017;1;5;31.12.2017;;0;12.07.2021;04.01.2018;2;4
358687;1;04.01.2018;20.05.2017;270;0;0;;01.06.2017;31.05.2018;1;12;31.05.2018;;0;30.07.2019;04.01.2018;1;4
