ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
-668334;964;VELENJE;VELENJE;2418/3;2;;;1/1;;444;;
-662854;1948;KRAŠCE;MORAVČE;852/1;7;;;1/1;;3462;;
-662854;1948;KRAŠCE;MORAVČE;852/2;7;;;1/1;;2020;;
-662834;1492;STRANSKA VAS;NOVO MESTO;*247;5;;;1/1;Hiša potrebna rušitve,primerna za nadomestno gradnjo;759;;
-662814;1456;NOVO MESTO;NOVO MESTO;1692;3;;;565/10000;;250;;
-662794;1456;NOVO MESTO;NOVO MESTO;1692;3;;;3782/10000;;250;;
-662774;1466;GORENJA VAS;ŠMARJEŠKE TOPLICE;2599/1;3;;;1/1;;1106;;
-662774;1466;GORENJA VAS;ŠMARJEŠKE TOPLICE;2599/3;3;;;1/1;;741;;
-662774;1466;GORENJA VAS;ŠMARJEŠKE TOPLICE;2599/2;3;;;1/1;;458;;
-662774;1466;GORENJA VAS;ŠMARJEŠKE TOPLICE;2599/4;3;;;1/1;;608;;
-662755;1508;BOJANJA VAS;METLIKA;298;7;;;1/1;;374;;
-662754;1458;ČREŠNJICE;NOVO MESTO;2331/6;7;;;1/1;;271;;
-662754;1458;ČREŠNJICE;NOVO MESTO;2344/1;7;;;1/1;;1833;;
-662754;1458;ČREŠNJICE;NOVO MESTO;2332/7;7;;;1/1;;1381;;
-662754;1458;ČREŠNJICE;NOVO MESTO;2344/4;7;;;1/1;;280;;
-662754;1458;ČREŠNJICE;NOVO MESTO;2344/3;7;;;1/1;;108;;
-657658;1621;GORA;SODRAŽICA;1968/2;7;;;1/4;;518;;
-657658;1640;RETJE;LOŠKI POTOK;3778/89;7;;;1/4;;3291;;
-657658;1640;RETJE;LOŠKI POTOK;3778/90;7;;;1/4;;4855;;
-657658;1621;GORA;SODRAŽICA;1968/1;7;;;1/4;;5680;;
-657654;1696;RUDNIK;ŠKOFLJICA;2061/11;7;;;1/1;;2756;;
-657654;1696;RUDNIK;ŠKOFLJICA;2010/4;7;;;1/1;;6715;;
-657654;1696;RUDNIK;ŠKOFLJICA;2010/27;7;;;1/1;;3352;;
-657654;1696;RUDNIK;ŠKOFLJICA;2010/5;7;;;1/1;;6715;;
-657654;1696;RUDNIK;ŠKOFLJICA;2011/29;7;;;1/1;;2805;;
-657654;1696;RUDNIK;ŠKOFLJICA;2010/6;7;;;1/1;;6715;;
-657636;1707;IŠKA VAS;IG;1642/9;5;;;15/80;Prevzgojni dom, zapor, vojašnica, prostor za nastanitev policistov, gasilcev IN DRUG KMETIJSKI DEL STAVBE.;772;;
-657636;1707;IŠKA VAS;IG;1642/9;5;;;65/80;;772;;
-657614;1707;IŠKA VAS;IG;1642/9;5;;;15/80;Prevzgojni dom, zapor, vojašnica, prostor za nastanitev policistov, gasilcev in drug kmetijski del stavbe.;772;;
-657614;1707;IŠKA VAS;IG;1642/9;5;;;65/80;;772;;
-657595;1754;ŠENTVID NAD LJUBLJANO;LJUBLJANA;1765/4;5;;;1/1;;5432;;
-657583;1722;TRNOVSKO PREDMESTJE;LJUBLJANA;414/28;5;;;1/2;;385;;
-657583;1722;TRNOVSKO PREDMESTJE;LJUBLJANA;414/77;5;;;1/1;;17;;
-657583;1722;TRNOVSKO PREDMESTJE;LJUBLJANA;414/28;5;;;1/2;Gospodarsko poslopje.;385;;
-657582;1750;ŠMARTNO POD ŠMARNO GORO;LJUBLJANA;69/4;1;;;1/1;;161;;
-657581;1753;VIŽMARJE;LJUBLJANA;591/10;10;;;1/1;Parcela 591/10 po podatkih v zemljiškem katastru v naravi predstavlja cesto v izmeri 3m2, parcela 591/12 pa sadovnjak v izmeri 48 m2.;3;;
-657581;1753;VIŽMARJE;LJUBLJANA;591/12;10;;;1/1;Parcela 591/10 po podatkih v zemljiškem katastru v naravi predstavlja cesto v izmeri 3m2, parcela 591/12 pa sadovnjak v izmeri 48 m2.;48;;
-657581;1753;VIŽMARJE;LJUBLJANA;591/7;5;;;1/1;;300;;
-657475;1724;BREZOVICA;BREZOVICA;1221/20;3;;;1/1;;589;;
-654226;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;404/3;5;;;1/3;;653;;
-657595;1754;ŠENTVID NAD LJUBLJANO;LJUBLJANA;1771/1;9;;;1/1;;1952;;
-657580;2003;VERD;VRHNIKA;867/6;5;;;1/1;;1268;;
-657576;1933;LUKOVICA;LUKOVICA;11/1;3;;;1/1;;1115;;
-657582;1750;ŠMARTNO POD ŠMARNO GORO;LJUBLJANA;69/3;1;;;1/1;;314;;
-657575;1696;RUDNIK;ŠKOFLJICA;1966/6;7;;;1/1;;1201;;
-657535;1911;KAMNIK;KAMNIK;106/2;5;;;94/1000;;423;;
-657194;1751;TACEN;LJUBLJANA;143/9;3;;;1/1;;1222;;
-657194;1751;TACEN;LJUBLJANA;143/34;3;;;1/1;;735;;
-656816;1723;VIČ;LJUBLJANA;192/2;5;;;1/1;VRTNA UTA;89;;
-654875;595;PLINTOVEC;KUNGOTA;172/4;7;;;1/1;;942;;
-654874;677;ZGORNJE RADVANJE;MARIBOR;363;5;;;1/3;;480;;
-656794;1756;ČRNUČE;LJUBLJANA;506/3;5;;;1/1;;264;;
-654934;2131;STRAŽIŠČE;KRANJ;102/6;5;;;1/1;;443;;
-654474;1735;STOŽICE;LJUBLJANA;2372/33;3;;;1/1;;264;;
-654474;1735;STOŽICE;LJUBLJANA;2372/31;3;;;1/1;;524;;
-654232;677;ZGORNJE RADVANJE;MARIBOR;42/8;7;;;1/1;;378;;
-654231;1106;BEZINA;SLOVENSKE KONJICE;453/28;10;;;1/1;;25;;
-654230;2191;ŽELEČE;BLED;709/37;3;;;1/1;;200;;
-654229;1074;SPODNJA HUDINJA;CELJE;502/91;5;;;1/1;;18;;
-654227;1197;CESTE;ROGAŠKA SLATINA;301;9;;;1/2;;1007;;
-654227;1197;CESTE;ROGAŠKA SLATINA;300;7;;;1/2;;504;;
-654226;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;404/3;5;;;1/3;;653;;
-654225;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;404/3;5;;;1/3;;653;;
-654225;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;404/3;5;;;1/3;;653;;
-654224;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;243/944;6;;;1/1;;11;;
-654217;977;ŽELEZNO;ŽALEC;2480;5;;;1/1;;526;;
-654224;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;243/920;3;;;1/1;;31;;
-654221;607;JELENČE;PESNICA;170/1;7;;;1/1;;1926;;
-654220;2633;RAVEN;PIRAN;2154/2;7;;;1/1;;2078;;
-654219;2148;SENIČNO;TRŽIČ;33/13;3;;;1/1;;38;;
-654218;1079;KOŠNICA;CELJE;170/19;9;;;1/1;;5561;;
-654213;1480;POTOV VRH;NOVO MESTO;*272;3;;;1/1;;30;;
-654213;1480;POTOV VRH;NOVO MESTO;*272;5;;;1/1;;30;;
-654212;2395;BRJE;AJDOVŠČINA;971;3;;;1/4;;1745;;
-654209;1394;BUČKA;ŠKOCJAN;3611;7;;;1/1;;10435;;
-654208;395;HAJDOŠE;HAJDINA;742/2;3;;;1/1;;9;;
-654208;395;HAJDOŠE;HAJDINA;741/2;3;;;1/1;;77;;
-654207;1771;ZADOBROVA;LJUBLJANA;789/9;5;;;1/4;;596;;
-654206;157;DOLGA VAS PRI LENDAVI;LENDAVA;4320;9;;;1/1;;404;;
-654205;1076;MEDLOG;CELJE;1115/31;10;;;685/2000;;580;;
-654205;1076;MEDLOG;CELJE;1115/21;10;;;685/2000;;317;;
-654205;1076;MEDLOG;CELJE;1115/22;5;;;1/2;;181;;
-654204;1981;GOLO BRDO;MEDVODE;313/4;1;;;1/1;;374;;
-654203;1478;GABRJE;NOVO MESTO;18/1;5;;;1/1;;1836;;
-654202;1461;ŽALOVIČE;ŠMARJEŠKE TOPLICE;151;7;;;1/1;;1741;;
-654201;277;ŠAFARSKO;RAZKRIŽJE;66;7;;;1/1;;2287;;
-654199;2611;MAREZIGE;KOPER;2267/3;7;;;1/1;;956;;
-654198;1115;SLOVENSKE KONJICE;SLOVENSKE KONJICE;340/8;3;;;1/1;;38;;
-654198;1115;SLOVENSKE KONJICE;SLOVENSKE KONJICE;339/24;3;;;1/1;;667;;
-654197;1634;DANE;LOŠKA DOLINA;486;7;;;1/1;;3330;;
-654195;1634;DANE;LOŠKA DOLINA;1455/57;9;;;1/1;;270;;
-654195;1634;DANE;LOŠKA DOLINA;1784/265;9;;;1/1;;2210;;
-654195;1634;DANE;LOŠKA DOLINA;1455/58;9;;;1/1;;2980;;
-654194;2378;VRHPOLJE;VIPAVA;439/2;7;;;1/1;;17;;
-654194;2378;VRHPOLJE;VIPAVA;439/3;7;;;1/1;;66;;
-654194;2378;VRHPOLJE;VIPAVA;439/4;7;;;1/1;;463;;
-654194;2378;VRHPOLJE;VIPAVA;439/1;7;;;1/1;;582;;
-654193;1634;DANE;LOŠKA DOLINA;723;7;;;1/1;;2629;;
-654193;1634;DANE;LOŠKA DOLINA;1067/1;7;;;1/1;;277;;
-654193;1634;DANE;LOŠKA DOLINA;416;7;;;1/1;;722;;
-654193;1634;DANE;LOŠKA DOLINA;1067/2;7;;;1/1;;789;;
-654192;1075;OSTROŽNO;CELJE;256/2;3;;;1/1;;1063;;
-654192;1075;OSTROŽNO;CELJE;226/5;3;;;1/1;;3940;;
-654191;1634;DANE;LOŠKA DOLINA;681;7;;;1/1;;1541;;
-654190;2640;HRASTNIK;HRASTNIK;638/3;7;;;1/1;;730;;
-654183;1466;GORENJA VAS;ŠMARJEŠKE TOPLICE;718;8;;;1/1;;723;;
-654187;1856;DOL PRI HRASTNIKU;HRASTNIK;760/5;7;;;1/1;;357;;
-654185;1856;DOL PRI HRASTNIKU;HRASTNIK;681/2;7;;;1/1;;104;;
-654183;1466;GORENJA VAS;ŠMARJEŠKE TOPLICE;719;8;;;1/1;;705;;
-654183;1466;GORENJA VAS;ŠMARJEŠKE TOPLICE;*95;10;;;1/1;;47;;
-654182;1741;VODICE;VODICE;253/10;3;;;1/1;;53;;
-654181;1457;ŽDINJA VAS;NOVO MESTO;1120/2;7;;;1/1;;528;;
-654181;1457;ŽDINJA VAS;NOVO MESTO;1121;7;;;1/1;;378;;
-654181;1457;ŽDINJA VAS;NOVO MESTO;1120/1;7;;;1/1;;38;;
-654181;1457;ŽDINJA VAS;NOVO MESTO;*283;5;;;1/1;;29;;
-654180;605;SPODNJE DOBRENJE;PESNICA;474/9;5;;;1/1;;538;;
-654179;605;SPODNJE DOBRENJE;PESNICA;474/2;7;;;1/1;;1865;;
-654178;2394;VELIKE ŽABLJE;AJDOVŠČINA;1436/3;3;;;1/1;;532;;
-654176;247;LOGAROVCI;KRIŽEVCI;1759;7;;;1/1;;57231;;
-654175;247;LOGAROVCI;KRIŽEVCI;470/1;7;;;5431/10000;;266527;;
-654175;247;LOGAROVCI;KRIŽEVCI;470/4;7;;;5431/10000;;1305;;
-654173;661;LIMBUŠ;MARIBOR;460/1;7;;;1/1;;11019;;
-654171;655;MELJE;MARIBOR;627/13;3;;;1/1;;990;;
-654170;655;MELJE;MARIBOR;627/15;3;;;1/1;;984;;
-654169;1397;TRŽIŠČE;SEVNICA;1688/5;10;;;1/1;;684;;
-654168;619;DOLNJA POČEHOVA;PESNICA;189/59;5;;;1/1;;75;;
-654159;664;BISTRICA PRI RUŠAH;RUŠE;455/3;5;;;1/1;;4218;;
-654166;1444;AJDOVEC;ŽUŽEMBERK;119/2;3;;;1/1;;84;;
-654163;1494;JURKA VAS;STRAŽA;1235;9;;;1/6;;9355;;
-654160;2160;LJUBNO;RADOVLJICA;669/1;7;;;1/1;;5136;;
-654160;2160;LJUBNO;RADOVLJICA;668;7;;;1/1;;2180;;
