ID Posla;Vrsta najemnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena najemnina;Vključenost obratovalnih stroškov v najemnino;Vključenost DDV;Stopnja DDV;Datum začetka najema;Datum prenehanja najema;Čas najema;Trajanje najema;Datum zaključka najema /Datum predčasne prekinitve najema;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
3698;1;24.03.2015;31.12.2015;4,62;0;0;;01.01.2016;31.12.2016;1;12;31.12.2016;LETNA NAJEMNINA V VIŠINI 55,38 EUR;;30.07.2019;24.03.2015;1;4
6323;1;02.03.2015;08.10.2009;1972,5;0;1;2;08.10.2009;27.02.2014;1;53;27.02.2014;;0;23.07.2015;02.03.2015;1;4
31743;1;21.08.2015;20.07.2009;300;0;0;;20.07.2009;31.07.2014;1;61;31.07.2014;;0;21.08.2015;21.08.2015;1;4
34589;2;05.01.2015;15.05.2008;150;1;0;;15.05.2008;;2;;30.04.2015;Razlog predčasnega zaključka : prodaja;0;23.07.2015;05.01.2015;1;4
53770;1;26.02.2015;22.01.2010;112;0;0;;01.02.2010;;2;;30.06.2014;;0;23.07.2015;26.02.2015;1;4
57686;5;17.03.2015;03.09.2007;182,94;0;0;;03.09.2007;31.12.2014;1;88;30.12.2014;V najemnino je vključena obrabnina opreme.;;23.07.2015;17.03.2015;1;4
64282;1;02.03.2015;01.03.2011;880;1;0;;01.03.2011;01.03.2014;1;36;28.02.2014;IDEO PLUS D.O.O.;0;23.07.2015;02.03.2015;1;4
71648;1;10.08.2015;05.08.2015;243,92;0;0;;05.08.2015;02.08.2016;1;12;02.08.2016;;0;30.07.2019;10.08.2015;1;4
152243;1;11.05.2015;30.05.2014;256,2;1;1;4;01.06.2014;30.11.2014;1;6;30.11.2014;;0;23.07.2015;11.05.2015;1;4
178259;1;03.02.2015;01.06.2014;194,01;1;0;;01.06.2014;01.06.2015;1;12;01.06.2015;;0;23.07.2015;03.02.2015;1;4
