ID Posla;Vrsta najemnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena najemnina;Vključenost obratovalnih stroškov v najemnino;Vključenost DDV;Stopnja DDV;Datum začetka najema;Datum prenehanja najema;Čas najema;Trajanje najema;Datum zaključka najema /Datum predčasne prekinitve najema;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
411094;1;24.01.2019;11.12.2018;500;1;0;;15.01.2019;16.12.2019;1;12;16.12.2019;;0;17.12.2019;24.01.2019;1;4
411102;1;24.01.2019;01.12.2018;105;0;1;4;01.12.2018;;2;;31.07.2019;Razlog predcasnega zakljucka : ODPOVED POGODBE;;26.08.2019;24.01.2019;1;4
411107;2;25.01.2019;01.01.2017;180;0;0;;01.01.2017;;2;;;;0;30.07.2019;25.01.2019;1;4
411128;1;25.01.2019;24.11.2018;50;0;0;;01.02.2019;31.12.2019;1;11;31.12.2019;;0;01.01.2020;25.01.2019;2;4
411132;1;25.01.2019;24.08.2018;50;0;0;;01.10.2018;30.09.2019;1;12;30.09.2019;;0;01.10.2019;25.01.2019;2;4
411136;1;25.01.2019;01.01.2019;754,44;0;1;4;01.01.2019;;2;;31.12.2019;revalorizacija 1x letnoRazlog predcasnega zakljucka : sklenitev aneksa 2;0;06.01.2020;25.01.2019;2;4
411140;1;25.01.2019;18.12.2018;50;0;1;4;18.12.2018;;2;;31.03.2020;Razlog predcasnega zakljucka : ODPOVED POGODBE;;09.04.2020;25.01.2019;1;4
411151;1;25.01.2019;01.01.2019;3607,5;0;1;4;01.01.2019;;2;;31.01.2019;Razlog predčasnega zaključka : Sprememba pogodbe;;30.07.2019;25.01.2019;1;4
411156;1;25.01.2019;18.12.2018;1600;0;1;4;01.01.2019;31.12.2019;1;12;31.12.2019;aneks;0;01.01.2020;25.01.2019;2;1
411175;1;25.01.2019;27.12.2018;646,6;1;1;4;01.01.2019;31.12.2020;1;24;31.12.2020;;0;01.01.2021;25.01.2019;1;4
411197;1;25.01.2019;31.12.2018;409,75;0;0;;01.01.2019;31.12.2020;1;24;31.12.2020;;0;01.01.2021;25.01.2019;2;4
411235;2;27.01.2019;10.04.2015;250;0;0;;01.05.2015;;2;;;;0;30.07.2019;27.01.2019;1;4
411279;4;28.01.2019;20.11.2018;155,69;0;0;;20.11.2018;;2;;;;;30.07.2019;28.01.2019;1;4
411286;4;28.01.2019;11.01.2019;159,53;0;0;;11.01.2019;;2;;;;;30.07.2019;28.01.2019;1;4
411298;1;28.01.2019;28.12.2018;56,12;0;1;4;01.01.2019;31.12.2019;1;12;31.12.2019;;0;01.01.2020;28.01.2019;1;4
411326;1;29.01.2019;13.01.2019;396;1;0;;13.01.2019;12.07.2019;1;6;12.03.2019;Razlog predčasnega zaključka : sporazumno  prekinitev posla, nova najemna pogodba izstavljena zaradi poviš cen.;0;30.07.2019;29.01.2019;1;4
411418;1;31.01.2019;11.12.2015;1935,48;0;0;;01.01.2016;31.12.2025;1;120;31.12.2018;;0;30.07.2019;31.01.2019;1;4
411427;1;30.01.2019;22.01.2019;24,4;1;1;4;01.03.2019;31.01.2020;1;11;31.01.2020;;0;01.02.2020;30.01.2019;2;4
411432;1;30.01.2019;08.01.2019;54,9;1;1;4;08.01.2019;;2;;;;0;30.07.2019;30.01.2019;1;4
411434;1;30.01.2019;13.12.2018;488;1;1;4;01.01.2019;31.12.2021;1;36;31.10.2021;Razlog predčasnega zaključka : Zapiranje podjetja;0;11.11.2021;30.01.2019;1;4
411443;1;30.01.2019;15.09.2008;800;0;0;;01.10.2008;24.04.2019;1;127;24.04.2019;;;25.04.2019;30.01.2019;1;4
411451;1;30.01.2019;15.10.2018;228,15;1;1;4;01.01.2019;31.12.2019;1;12;31.12.2019;Ni DDV zavezanec;1;01.01.2020;30.01.2019;2;4
411483;1;31.01.2019;30.01.2019;390;0;0;;01.03.2019;29.02.2020;1;12;30.06.2019;Podaljšanje pogodbe in sprememba višine najemnine.Razlog predčasnega zaključka : Predčasna odpoved.;0;30.07.2019;31.01.2019;2;4
411485;1;31.01.2019;01.01.2018;250;0;0;;01.01.2018;31.12.2022;1;60;;;0;30.07.2019;31.01.2019;1;4
411494;1;31.01.2019;20.12.2018;110;0;0;;01.01.2019;;2;;;;0;30.07.2019;31.01.2019;1;4
411556;1;01.02.2019;28.01.2019;230;0;0;;01.02.2019;31.01.2024;1;60;30.09.2021;V skladu s 94. členom ZDDV-1 nismo zavezanec za DDV.;0;09.10.2021;01.02.2019;1;4
411586;1;01.02.2019;11.07.2016;7000;1;1;4;04.10.2018;30.09.2026;1;96;14.02.2021;Razlog predčasnega zaključka : NAJEMNA POGODBA Z SELINVEST D.O.O. (ODDELITEV);;04.06.2021;01.02.2019;1;4
411597;1;01.02.2019;31.10.2017;125;1;0;;04.10.2018;;2;;31.01.2021;Razlog predčasnega zaključka : NAJEMNA POGODBA Z SELINVEST D.O.O. (ODDELITEV);;04.06.2021;01.02.2019;1;4
411637;1;04.02.2019;06.03.2013;10;0;0;;01.01.2018;31.12.2018;1;12;31.12.2018;aneks št.6 sklenjen 1.10.2018;0;04.02.2019;04.02.2019;1;4
411660;1;04.02.2019;01.01.2019;180;1;0;;01.01.2019;31.12.2020;1;24;31.12.2020;Razlog predčasnega zaključka : SKLENJENA NOVA POGODBA;0;31.12.2020;04.02.2019;1;4
412515;5;04.02.2019;03.08.2007;121,55;0;0;;03.08.2007;28.11.2017;1;124;28.11.2017;;;04.02.2019;04.02.2019;1;4
412527;5;04.02.2019;21.05.2012;81,06;0;0;;21.05.2012;13.04.2018;1;71;13.04.2018;;;04.02.2019;04.02.2019;1;4
412531;5;04.02.2019;20.09.2012;61,88;0;0;;20.09.2012;03.05.2018;1;68;03.05.2018;;;04.02.2019;04.02.2019;1;4
