ID Posla;Vrsta najemnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena najemnina;Vključenost obratovalnih stroškov v najemnino;Vključenost DDV;Stopnja DDV;Datum začetka najema;Datum prenehanja najema;Čas najema;Trajanje najema;Datum zaključka najema /Datum predčasne prekinitve najema;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
75910;1;12.02.2016;24.01.2013;549,62;1;0;;24.01.2013;31.12.2019;1;84;22.07.2014;Razlog predčasnega zaključka : Prekinitev;;12.02.2016;12.02.2016;1;4
119081;1;05.01.2016;15.03.2000;78,54;0;0;;15.03.2000;;2;;;;0;05.01.2016;05.01.2016;1;4
173426;1;20.04.2016;01.10.2014;426,51;0;1;4;01.10.2014;31.03.2016;1;18;31.03.2016;;;20.04.2016;20.04.2016;1;4
182518;1;10.02.2016;15.01.2015;490;0;0;;15.01.2015;01.01.2016;1;12;01.01.2016;;0;30.07.2019;10.02.2016;1;4
211726;1;03.05.2016;12.01.2010;360;0;0;;12.01.2010;;2;;;Prej poročanih več najemnih pogodb skupaj pod številko 197616. ker ena najemna pogodba prekinjena, je bil posel zaključen, obstoječi najemniki pa vneseni kot nov posel.;0;03.05.2016;03.05.2016;1;4
219740;1;03.05.2016;21.08.2015;70;0;1;4;01.09.2015;31.08.2016;1;12;31.08.2016;;0;30.07.2019;03.05.2016;1;4
222230;1;31.05.2016;01.09.2015;190;1;0;;01.09.2015;31.08.2017;1;24;31.08.2017;;0;17.11.2020;31.05.2016;1;4
235549;1;16.04.2016;15.10.2015;777,5;1;1;4;01.11.2015;;2;;;;0;30.07.2019;16.04.2016;1;4
236290;1;14.06.2016;25.11.2015;600;0;0;;07.12.2015;31.05.2016;1;6;31.05.2016;;;30.07.2019;14.06.2016;1;4
239279;1;04.01.2016;01.01.2016;300;0;0;;01.01.2016;;2;;;;0;12.07.2021;04.01.2016;1;4
239958;1;04.01.2016;28.07.2015;220;0;0;;01.08.2015;01.08.2016;1;12;31.07.2016;;0;12.07.2021;04.01.2016;1;4
239972;1;04.01.2016;01.01.2016;50;0;0;;01.02.2016;31.12.2016;1;11;31.12.2016;;0;30.07.2019;04.01.2016;2;4
239976;1;04.01.2016;28.12.2015;97,71;1;0;;01.01.2016;01.01.2021;1;60;01.01.2021;letno usklajevanje najemnine in obratovalnih stroškov z indeksom rasti življenskih potrebščin v RS;0;02.01.2021;04.01.2016;1;4
240011;1;04.01.2016;15.12.2013;226,27;0;1;4;01.01.2016;31.12.2017;1;24;31.12.2017;;0;07.09.2019;04.01.2016;2;4
240026;1;04.01.2016;08.12.2015;610;0;1;4;17.01.2016;17.07.2016;1;6;17.07.2016;;0;30.07.2019;04.01.2016;2;4
240059;1;05.01.2016;16.12.2015;250;1;0;;01.01.2016;31.12.2016;1;12;31.12.2016;;0;30.07.2019;05.01.2016;1;4
240083;1;04.01.2016;30.07.2011;10693,13;0;1;2;01.01.2012;31.12.2021;1;120;01.12.2016;Razlog predčasnega zaključka : Skladno z dodatkom št. 5 se je najel dodatni poslovni prostor.;0;21.12.2016;04.01.2016;1;4
240092;1;04.01.2016;23.12.2015;50;0;0;;01.01.2016;30.11.2016;1;11;30.11.2016;;0;12.07.2021;04.01.2016;2;4
240121;2;04.01.2016;07.12.2015;300;0;0;;31.12.2015;31.12.2016;1;12;31.12.2016;;0;12.07.2021;04.01.2016;2;4
240131;5;04.01.2016;17.12.2015;64,93;0;0;;18.12.2015;;2;;;;0;30.07.2019;04.01.2016;1;4
240204;1;05.01.2016;23.12.2015;30;1;0;;23.12.2015;23.12.2016;1;12;22.12.2016;;0;30.07.2019;05.01.2016;2;4
240218;1;05.01.2016;03.12.2015;200;0;0;;08.12.2015;;2;;;;0;12.07.2021;05.01.2016;1;4
240220;1;05.01.2016;01.01.2016;150;0;0;;01.01.2016;30.06.2016;1;6;30.06.2016;;0;12.07.2021;05.01.2016;1;4
240223;1;05.01.2016;28.12.2015;1344,68;1;1;4;01.01.2016;31.07.2019;1;43;31.05.2017;Razlog predčasnega zaključka : konec najema;0;30.07.2019;05.01.2016;1;4
240235;1;05.01.2016;01.01.2016;300;0;0;;01.01.2016;31.10.2016;1;10;31.10.2016;;0;12.07.2021;05.01.2016;1;4
240237;1;05.01.2016;29.11.2015;200;0;0;;01.12.2015;01.05.2016;1;5;30.04.2016;;0;12.07.2021;05.01.2016;1;4
240254;1;05.01.2016;01.12.2015;248,3;1;0;;01.12.2015;;2;;31.05.2016;Pogodba se sklene do 31.12. tekočega leta in se avtomatsko podaljša če nobena od strank do 30.11. pisno ne odpove pogodbo.Razlog predčasnega zaključka : prekinitev pogodbe;0;30.07.2019;05.01.2016;1;4
240287;1;05.01.2016;30.11.2015;204,12;0;0;;01.12.2015;;2;;31.10.2016;;0;30.07.2019;05.01.2016;1;4
240290;1;05.01.2016;05.12.2015;350;0;0;;06.12.2015;05.06.2016;1;6;05.06.2016;;0;30.07.2019;05.01.2016;1;4
240294;2;05.01.2016;01.01.2016;90;0;0;;01.01.2016;30.06.2016;1;6;30.06.2016;;0;30.07.2019;05.01.2016;1;4
240296;1;05.01.2016;01.11.2015;300;1;0;;01.11.2015;;2;;;;0;30.07.2019;05.01.2016;1;4
240325;1;06.01.2016;24.12.2014;154,32;1;0;;01.01.2016;31.12.2016;1;12;31.05.2016;Razlog predčasnega zaključka : Prekinitev najemne pogodbe.;0;02.06.2016;06.01.2016;2;4
240328;1;06.01.2016;01.10.2015;180;0;0;;01.10.2015;31.10.2015;1;1;31.10.2015;;0;30.07.2019;06.01.2016;1;4
240370;1;06.01.2016;01.01.2016;150;0;0;;01.01.2016;30.06.2016;1;6;30.06.2016;;0;12.07.2021;06.01.2016;1;4
240382;2;06.01.2016;05.01.2016;2640,51;1;1;4;06.01.2016;31.12.2026;1;132;;;0;30.07.2019;06.01.2016;1;4
240421;1;06.01.2016;01.12.2015;130;0;0;;01.12.2015;31.05.2016;1;6;31.05.2016;;0;12.07.2021;06.01.2016;1;4
240448;1;07.01.2016;01.10.2015;550;1;0;;02.10.2015;31.12.2018;1;39;01.01.2018;Razlog predčasnega zaključka : prodano;0;30.07.2019;07.01.2016;1;4
240470;4;07.01.2016;15.06.2013;20;0;0;;15.06.2013;15.06.2016;1;36;15.06.2016;;0;12.07.2021;07.01.2016;2;4
240471;1;07.01.2016;22.12.2015;320;0;0;;22.12.2015;30.11.2016;1;12;26.04.2016;Razlog predčasnega zaključka : Prekinitev;0;12.07.2021;07.01.2016;1;4
240480;1;07.01.2016;01.08.2014;40;0;0;;01.08.2014;01.08.2016;1;24;01.08.2016;;;12.07.2021;07.01.2016;1;4
240500;1;07.01.2016;27.09.2015;120;0;0;;01.10.2015;30.09.2016;1;12;30.09.2016;;0;12.07.2021;07.01.2016;1;4
240504;1;07.01.2016;15.12.2015;50;0;0;;15.12.2015;15.12.2016;1;12;14.12.2016;;0;12.07.2021;07.01.2016;1;4
