ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
240009;1;04.01.2016;28.12.2015;1048,6;0;;;;odkup zemljišča zaradi ureditve lastništva na objektu energetske infrastrukture;0;30.07.2019;04.01.2016;1;2
240104;1;04.01.2016;31.12.2015;374177,8;1;3;;;;1;30.07.2019;04.01.2016;1;1
240797;1;09.01.2016;07.12.2015;81632,03;1;3;;;;1;30.07.2019;09.01.2016;1;1
241284;1;12.01.2016;23.12.2015;324135,71;1;3;;;V CENI JE VKLJUČEN DDV PO STOPNJI 8,5% V VIŠINI 11.035,40? IN PO STOPNJI 9,5% V VIŠINI 15.900,31;0;30.07.2019;12.01.2016;1;2
242325;3;15.01.2016;15.12.2015;34423;0;;;;;0;30.07.2019;15.01.2016;1;3
242354;3;15.01.2016;10.11.2015;2310;0;;;;PV 9312/2015  SKLEP O DOMIKU;0;30.07.2019;15.01.2016;1;3
242370;1;15.01.2016;28.12.2015;17000;0;;;;N 9265/2015;0;30.07.2019;15.01.2016;1;1
242464;1;15.01.2016;22.12.2015;107500;0;;;;št. prejemnega vpisnika:4236-9178/2015.;1;30.07.2019;15.01.2016;1;1
242522;1;15.01.2016;28.10.2015;1296;0;;;;;0;30.07.2019;15.01.2016;1;4
242546;1;15.01.2016;22.12.2015;84000;0;;;;št. prejemnega vpisnika:4236-9166/2015;1;30.07.2019;15.01.2016;1;1
242554;1;15.01.2016;21.12.2015;31000;0;;;;;1;30.07.2019;15.01.2016;1;1
242599;1;15.01.2016;15.12.2015;43000;0;;;;;0;30.07.2019;15.01.2016;1;1
242620;1;15.01.2016;09.12.2015;1500;0;;;;št. prejemnega vpisnika:4236-9046/2015.;0;30.07.2019;15.01.2016;1;1
242626;1;15.01.2016;21.12.2015;120000;0;;;;ŠT. PREJ. VP. 4236-9142/2015;0;30.07.2019;15.01.2016;1;1
242648;1;15.01.2016;14.12.2015;180000;0;;;;n 9001/15;1;30.07.2019;15.01.2016;1;2
242717;1;15.01.2016;09.12.2015;87500;0;;;;n 8715/15;1;30.07.2019;15.01.2016;1;1
242736;1;15.01.2016;07.12.2015;7211,52;0;;;;4236-8859/2015;0;30.07.2019;15.01.2016;1;3
242755;1;15.01.2016;15.12.2015;110000;0;;;;n 8902/15;0;30.07.2019;15.01.2016;1;1
242831;5;15.01.2016;25.11.2015;38800;0;;15.11.2030;;;0;30.07.2019;15.01.2016;1;4
242906;1;15.01.2016;09.11.2015;13000;0;;;;;0;30.07.2019;15.01.2016;1;1
242952;1;15.01.2016;01.12.2015;103500;0;;;;n 8510/15;0;30.07.2019;15.01.2016;1;2
242959;1;15.01.2016;14.12.2015;27000;0;;;;;0;30.07.2019;15.01.2016;1;4
242962;1;15.01.2016;09.11.2015;4264;0;;;;;0;30.07.2019;15.01.2016;1;3
242968;1;15.01.2016;10.11.2015;140707,51;1;3;;;;0;30.07.2019;15.01.2016;1;2
242976;1;15.01.2016;07.12.2015;165888,57;1;3;;;;0;30.07.2019;15.01.2016;1;2
242978;1;15.01.2016;20.08.2015;1904,5;0;;;;PV 8368/2015;0;30.07.2019;15.01.2016;1;2
243037;1;15.01.2016;24.11.2015;288000;0;;;;;0;30.07.2019;15.01.2016;1;2
243040;1;15.01.2016;15.10.2015;6000;0;;;;;0;30.07.2019;15.01.2016;1;2
243107;1;15.01.2016;14.09.2015;5054;0;;;;;0;30.07.2019;15.01.2016;1;2
243158;1;15.01.2016;10.12.2015;65000;0;;;;;0;30.07.2019;15.01.2016;1;1
243160;1;15.01.2016;13.11.2015;2598;0;;;;;0;30.07.2019;15.01.2016;1;1
243178;1;15.01.2016;07.12.2015;39800;0;;;;;0;30.07.2019;15.01.2016;1;1
243195;1;15.01.2016;24.11.2015;6500;0;;;;;1;30.07.2019;15.01.2016;1;1
243199;1;15.01.2016;03.12.2015;70000;0;;;;;0;30.07.2019;15.01.2016;1;1
243203;1;15.01.2016;01.12.2015;2800,2;0;;;;;0;30.07.2019;15.01.2016;1;2
243237;2;15.01.2016;12.10.2015;49000;0;;;;;0;30.07.2019;15.01.2016;1;1
243304;1;15.01.2016;07.12.2015;30000;0;;;;ŠT. PREJ. VP. 4236-8766/2015;0;30.07.2019;15.01.2016;1;3
243318;3;15.01.2016;15.10.2015;2951,36;0;;;;;0;30.07.2019;15.01.2016;1;4
243355;1;15.01.2016;10.12.2015;25000;0;;;;Priložen cenilni zapisnik pooblaščenega ocenjevalca Boris Pajnkihar.;0;30.07.2019;15.01.2016;1;4
243399;1;15.01.2016;11.11.2015;11745;0;;;;;0;30.07.2019;15.01.2016;1;3
243404;2;15.01.2016;27.11.2015;7265;0;;;;;0;30.07.2019;15.01.2016;1;2
243411;1;15.01.2016;30.11.2015;5000;0;;;;N 8669/2015;0;30.07.2019;15.01.2016;1;3
243496;1;15.01.2016;08.12.2015;12500;0;;;;;0;30.07.2019;15.01.2016;1;1
243548;1;15.01.2016;03.12.2015;123000;0;;;;;0;30.07.2019;15.01.2016;1;4
243583;1;15.01.2016;08.12.2015;35000;0;;;;;1;30.07.2019;15.01.2016;1;1
243599;1;15.01.2016;25.11.2015;2450;0;;;;;0;30.07.2019;15.01.2016;1;1
243696;1;15.01.2016;15.10.2015;16736,2;0;;;;;0;30.07.2019;15.01.2016;1;2
243720;1;15.01.2016;30.11.2015;168000;0;;;;;0;30.07.2019;15.01.2016;1;1
243763;1;15.01.2016;27.11.2015;243600;0;;;;;0;30.07.2019;15.01.2016;1;4
243786;1;15.01.2016;13.11.2015;47100;0;;;;;0;30.07.2019;15.01.2016;1;1
243816;1;15.01.2016;24.11.2015;78;0;;;;;0;30.07.2019;15.01.2016;1;2
243865;1;15.01.2016;07.12.2015;30000;0;;;;;0;30.07.2019;15.01.2016;1;3
243877;1;15.01.2016;02.12.2015;60;0;;;;4236-8584/2015;0;30.07.2019;15.01.2016;1;2
243908;1;15.01.2016;24.11.2015;590;0;;;;;0;30.07.2019;15.01.2016;1;2
243967;1;15.01.2016;27.11.2015;7400;0;;;;4236-8394/2015;0;30.07.2019;15.01.2016;1;2
244093;1;15.01.2016;08.10.2015;7000;0;;;;;0;30.07.2019;15.01.2016;1;2
244106;1;15.01.2016;24.08.2015;528;0;;;;PV 8311/2015;0;30.07.2019;15.01.2016;1;3
244132;1;15.01.2016;23.11.2015;1585;0;;;;;0;30.07.2019;15.01.2016;1;1
244147;1;15.01.2016;11.11.2015;532,4;0;;;;;0;30.07.2019;15.01.2016;1;4
244191;1;15.01.2016;16.11.2015;3000;0;;;;;0;30.07.2019;15.01.2016;1;2
244202;1;15.01.2016;30.10.2015;19000;0;;;;;0;30.07.2019;15.01.2016;1;1
244238;1;15.01.2016;26.11.2015;30000;0;;;;;1;30.07.2019;15.01.2016;1;2
244241;1;15.01.2016;26.11.2015;125000;0;;;;;0;30.07.2019;15.01.2016;1;1
244271;1;15.01.2016;05.10.2015;974,75;0;;;;;0;30.07.2019;15.01.2016;1;3
244290;1;15.01.2016;25.11.2015;42000;0;;;;;1;30.07.2019;15.01.2016;1;1
244360;1;15.01.2016;20.11.2015;59850;0;;;;;0;30.07.2019;15.01.2016;1;3
244505;1;15.01.2016;27.11.2015;53000;0;;;;;0;30.07.2019;15.01.2016;1;2
244530;1;15.01.2016;11.11.2015;22100;0;;;;;0;30.07.2019;15.01.2016;1;2
244591;1;15.01.2016;27.11.2015;70700;0;;;;4236-8253/2015;0;30.07.2019;15.01.2016;1;2
