ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Interna oznaka oddanih prostorov;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta oddanih prostorov;Opremljenost oddanih prostorov;Mikrolokacija oddanih prostorov;Izložba;Nakupovalni center;Površina oddanih prostorov;Površina oddanih prostorov enaka delu stavbe;Pogodbena najemnina posameznih oddanih prostorov;Opombe o oddanih prostorih;Leto izgradnje stavbe;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina dela stavbe;Prostori dela stavbe;Uporabna površina oddanih prostorov;Gostinski vrt;Vključenost gostinskega vrta v najemnino;Površina gostinskega vrta
413420;2605;KOPER;KOPER;2056;6;L04;Koper;Ankaranska cesta;2;;6;8;0;2;;;108,45;;;;2010;1230101 - Nakupovalni center;pritličje;;108,5;108,5; lokal, prodajalna;;;;
413050;1738;DRAVLJE;LJUBLJANA;1394;23;Lokal 4;LJUBLJANA;CELOVŠKA CESTA;264;;23;5;0;2;;;34,52;;;;1983;1211202 - Restavracija, gostilna;pritličje;;321,5;321,5; lokal, prodajalna;34,52;;;
500485;1075;OSTROŽNO;CELJE;2590;4;1 SOBA +2KAB;CELJE;POD LIPAMI;28;;4;2;0;;;;58,18;;;;1991;2 - Stanovanje;nadstropje;;58,2;51,2; bivalni prostor | klet | zaprta terasa, balkon, loža;;0;;
480165;2290;KOJSKO;BRDA;194;2;;Hum;Hum;64;B;;11;0;;;;177,6;;;;1984;1251001 - Industrijski del stavbe;pritličje;;177,6;177,6; proizvodni in skladiščni prostor;;;;
480189;658;KOROŠKA VRATA;MARIBOR;250;1;;MARIBOR;KOROŠKA CESTA;32;;;2;1;;;;29;;;;1990;1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem;drugo;0;330;330; bivalni prostor;29;;;
504705;1722;TRNOVSKO PREDMESTJE;LJUBLJANA;7643;699;;;;;;;3;0;;;;12,4;;;;2005;15 - Garaža;klet;;12,4;12,4; garaža;12,4;;;
500402;1077;CELJE;CELJE;3026;2;2 SOBI + KAB;CELJE;AŠKERČEVA ULICA;11;;2;2;0;;;;63,33;;;;1875;2 - Stanovanje;pritličje;;64,1;62,6; bivalni prostor | klet;;0;;
484599;1739;ZGORNJA ŠIŠKA;LJUBLJANA;6767;619;6898;LJUBLJANA;RAKUŠEVA ULICA;12;;650;2;0;;;;68,03;;;;2009;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;2;71,3;60,5; bivalni prostor | odprta terasa, balkon, loža;;;;
494877;681;POBREŽJE;MARIBOR;1345;1;;MARIBOR;GERŠAKOVA ULICA;32;;;2;1;;;;10;;;;1935;1 - Stanovanje v enostanovanjski stavbi;pritličje;;149,7;100; bivalni prostor | klet | odprta terasa, balkon, loža;10;;;
512768;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;16 - Garažno parkirno mesto;pritličje;;17279;5729,6; garažni parkirni prostor;;;;
