ID;Numerična vrednost;Opis
14;204;Severni Marianski otoki
14;205;Sierra Leone
14;206;Singapur
14;207;Sirska arabska republika
14;208;Slonokoščena obala
14;209;Slovaška
14;210;Somalija
14;211;Srednjeafriška republika
14;212;Stranski zunanji otoki Združenih držav
14;213;Sudan
14;214;Surinam
14;215;Svalbard in Jan Mayen
14;216;Svazi
14;217;Sveti sedež (Vatikanska mestna država)
14;218;Španija
14;219;Šrilanka
14;220;Švedska
14;221;Tadžikistan
14;222;Tajska
14;223;Tajvan, Provinca Kitajske
14;224;Tanzanija, Združena republika
14;225;Togo
14;226;Tokelau
14;227;Tonga
14;228;Trinidad in Tobago
14;229;Tunizija
14;230;Turčija
14;231;Turkmenistan
14;232;Tuvalu
14;233;Uganda
14;234;Ukrajina
14;235;Urugvaj
14;236;Uzbekistan
14;237;Vanuatu
14;238;Venezuela
14;239;Vietnam
14;240;Vzhodni Timor
14;241;Zahodna Sahara
14;242;Zambija
14;243;Združeni arabski emirati
14;244;Zelenortski otoki
14;245;Zimbabve
14;247;Curacao
14;248;Sveti Martin (Nizozemska)
14;249;Bonaire, Sint Eustatius in Saba
14;250;Južni Sudan
14;251;Kosovo
24;1;Prodaja nepremicnin na prostem trgu
24;2;Prodaja nepremicnin na prostovoljni javni dražbi ali druga oblika prostovoljne javne prodaje
24;3;Prodaja nepremicnin na javni dražbi ali druga oblika javne prodaje v izvršilnem postopku, prisilni poravnavi, stecaju ali stecajnem postopku
24;4;Prodaja nepremicnin družinskim clanom, med povezanimi fizicnimi in pravnimi osebami ali med povezanimi pravnimi osebami
24;5;Financni najem (lizing)
24;6;Stavbna pravica - ustanovitev ali prenos
24;7;Prodaja nepremicnine namesto razlastitve lastnika
24;8;Razlastitev lastnika nepremicnine na podlagi zakona
25;1;Oddajanje stavb ali njihovih delov na prostem trgu
25;2;Oddajanje stavb ali njihovih delov med povezanimi fizicnimi ali pravnimi osebami
25;3;Oddajanje denacionaliziranih stanovanjskih nepremicnin na podlagi upravne ali sodne odlocbe
25;4;Drugo odplacno oddajanje
25;5;Oddajanje stanovanjskih nepremicnin za najemnino, doloceno na podlagi zakona
26;1;Določen čas
26;2;Nedoločen čas
27;1;Vinograd
27;2;Oljčnik
27;3;Intenzivni sadovnjak ? jablane 
27;4;Intenzivni sadovnjak ? breskve 
27;5;Intenzivni sadovnjak ? drugo
27;6;Hmeljišče
27;7;Ekstenzivni oz. travniški sadovnjak
27;8;Ostali trajni nasadi
27;9;Plantaža gozdnega drevja
29;1;8,5%
29;2;20,0%
29;3;9,5%
29;4;22,0%
30;1;Stanovanjska hiša
30;2;Stanovanje
30;3;Parkirni prostor
30;4;Garaža
30;5;Pisarniški prostori
30;6;Prostori za poslovanje s strankami
30;7;Prostori za zdravstveno dejavnost
30;8;Trgovski ali storitveni lokal
30;9;Gostinski lokal
30;10;Prostori za šport, kulturo ali izobraževanje
30;11;Industrijski prostori
30;12;Turistični nastanitveni objekt
30;13;Kmetijski objekt
30;14;Tehnični ali pomožni prostori
30;15;Drugo
30;16;Stanovanjska soba ali sobe
33;1;Ustanovitev stavbne pravice za nezgrajeno stavbo
33;2;Ustanovitev stavbne pravice za zgrajeno stavbo
33;3;Prenos stavbne pravice za nezgrajeno stavbo
33;4;Prenos stavbne pravice za zgrajeno stavbo
33;5;Prodaja parcele, obremenjene s stavbno pravico
42;1;Klet
42;2;Pritličje
42;3;Nadstropje
64;0;Ne
64;1;Da
78;0;NEREGISTRIRAN
78;1;REGISTRIRAN
78;2;LOCIRAN
83;1;Osnovna pogodba
83;2;Aneks k pogodbi
87;1;8,5%
87;2;20,0%
87;3;9,5%
87;4;22,0%
88;1;Tržen posel
88;2;Tržen posel – neustrezni podatki
88;3;Drug posel
88;4;Neopredeljen posel
88;5;V preverjanju
