ID Posla;Vrsta najemnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena najemnina;Vključenost obratovalnih stroškov v najemnino;Vključenost DDV;Stopnja DDV;Datum začetka najema;Datum prenehanja najema;Čas najema;Trajanje najema;Datum zaključka najema /Datum predčasne prekinitve najema;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
319528;1;16.05.2017;01.09.2016;12844,2;0;1;4;01.09.2016;25.11.2020;1;51;31.12.2019;;;29.12.2020;29.12.2020;1;5
444413;1;05.08.2020;15.08.2018;200;0;0;;15.08.2018;01.09.2019;1;13;01.09.2019;;;05.08.2020;05.08.2020;1;5
445995;1;15.05.2020;01.10.2019;130;0;1;4;01.10.2019;;2;;01.05.2020;Razlog predcasnega zakljucka : ODPOVED POGODBE;;15.05.2020;15.05.2020;1;5
452681;1;17.11.2020;28.11.2019;203,66;0;0;;29.11.2019;31.12.2020;1;14;31.12.2020;;;01.01.2021;17.11.2020;1;5
453665;1;23.11.2020;01.12.2019;265;0;0;;01.12.2019;;2;;;STANOVANJE OPREMLJENO S KUHINJO IN KOPALNICO.;;23.11.2020;23.11.2020;1;5
460911;1;12.06.2020;23.08.2018;200;0;0;;23.08.2018;30.09.2019;1;14;30.09.2019;;;12.06.2020;12.06.2020;1;5
461756;1;12.06.2020;01.07.2018;420;1;0;;01.07.2018;01.01.2019;1;6;01.01.2019;;;12.06.2020;12.06.2020;1;5
476270;1;06.01.2020;17.12.2019;300;0;0;;01.01.2020;;2;;31.03.2021;Razlog predčasnega zaključka : Najemnik je umrl.;;21.09.2021;06.01.2020;2;5
476284;1;06.01.2020;01.12.2019;7;0;0;;01.12.2019;30.11.2020;1;12;30.11.2020;;;01.12.2020;06.01.2020;2;5
476296;1;06.01.2020;01.09.2018;350;0;0;;01.09.2018;31.12.2020;1;28;31.12.2020;;;07.01.2021;06.01.2020;2;5
476310;2;07.01.2020;30.12.2019;526,59;0;0;;01.01.2020;;2;;;;;14.02.2020;07.01.2020;1;5
476378;1;07.01.2020;06.01.2020;65;1;0;;06.01.2020;14.12.2020;1;12;25.11.2020;;;28.11.2020;07.01.2020;2;5
476401;1;08.01.2020;22.08.2019;250;1;0;;01.09.2019;01.09.2020;1;12;01.09.2020;;;02.09.2020;08.01.2020;1;5
476407;1;08.01.2020;01.01.2020;320;1;0;;01.01.2020;31.10.2020;1;10;31.05.2020;Razlog predcasnega zakljucka : Sporazumna prekinitev pogodbe.;;24.06.2020;08.01.2020;1;5
476481;1;09.01.2020;02.12.2019;1290,32;0;0;;02.12.2019;31.12.2023;1;49;;povišana najemnina zaradi povečanja najemnega prostora;;14.02.2020;09.01.2020;2;5
477323;1;10.01.2020;11.09.2019;7740,5;0;1;4;30.11.2019;30.11.2024;1;60;;Najemnina znaša 7% oziroma minimalno 7740,50 vključujoč DDV. V kolikor najemnina od prometa presega minimalno najemnino za v eč kot 40%, se minimalna najemnina dvigne za 20%. Indeksacija HICP dodatno letno.;;14.02.2020;10.01.2020;1;5
477351;1;10.01.2020;22.12.2009;2372,5;0;0;;01.01.2010;31.12.2019;1;120;31.12.2019;;;14.02.2020;10.01.2020;1;4
477354;1;10.01.2020;27.07.2018;3862,07;0;1;4;27.07.2018;31.01.2024;1;67;;Aneks št. 2 - povečanje najemnine na 7% od mesečnega ustvarjenega prometa, podaljšanje najema do 31.1.2024;;14.02.2020;10.01.2020;1;5
477557;1;10.01.2020;01.01.2020;157,67;1;0;;01.01.2020;31.12.2020;1;12;31.12.2020;;;01.01.2021;10.01.2020;1;5
479368;1;12.01.2020;01.01.2020;130;1;0;;01.01.2020;31.12.2020;1;12;31.12.2020;;;01.01.2021;12.01.2020;1;5
479373;1;12.01.2020;01.01.2020;130;1;0;;01.01.2020;31.12.2020;1;12;31.12.2020;;;01.01.2021;12.01.2020;1;5
479375;1;12.01.2020;01.01.2020;130;1;0;;01.01.2020;31.12.2020;1;12;31.08.2020;;;23.09.2020;12.01.2020;1;5
