ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
-575913;1205;PLATINOVEC;ŠMARJE PRI JELŠAH;1495;9;;;1/1;;9441;;
-575906;1158;PRESEČNO;DOBJE;929;9;;;1/1;Kupnina po pogodbi je določena za vse nepremičnine.;11236;;
-575906;1158;PRESEČNO;DOBJE;945/3;9;;;1/1;Kupnina po pogodbi je določena za vse nepremičnine.;21824;;
-575906;1158;PRESEČNO;DOBJE;941;7;;;1/1;Kupnina po pogodbi je določena za vse nepremičnine.;745;;
-575906;1158;PRESEČNO;DOBJE;931;7;;;1/1;Kupnina po pogodbi je določena za vse nepremičnine.;1205;;
-575906;1158;PRESEČNO;DOBJE;933;7;;;1/1;Kupnina po pogodbi je določena za vse nepremičnine.;3125;;
-575906;1158;PRESEČNO;DOBJE;944;7;;;1/1;Kupnina po pogodbi je določena za vse nepremičnine.;2719;;
-575906;1158;PRESEČNO;DOBJE;937;7;;;1/1;Kupnina po pogodbi je določena za vse nepremičnine.;446;;
-575906;1158;PRESEČNO;DOBJE;945/2;7;;;1/1;Kupnina po pogodbi je določena za vse nepremičnine.;2050;;
-575906;1158;PRESEČNO;DOBJE;945/1;7;;;1/1;Kupnina po pogodbi je določena za vse nepremičnine.;1561;;
-575906;1158;PRESEČNO;DOBJE;938/1;7;;;1/1;Kupnina po pogodbi je določena za vse nepremičnine.;8168;;
-575906;1158;PRESEČNO;DOBJE;940;7;;;1/1;Kupnina po pogodbi je določena za vse nepremičnine.;1144;;
-575906;1158;PRESEČNO;DOBJE;930/1;5;;;1/1;Kupnina po pogodbi je določena za vse nepremičnine skupaj.;25626;;
-575905;1224;BABNA REKA;ŠMARJE PRI JELŠAH;924;7;;;1/1;;1924;;
-575904;723;PODOVA;RAČE-FRAM;699/2;7;;;1/1;;3787;;
-575903;1243;VETRNIK;KOZJE;1009/2;7;;;1/1;;3002;;
-575902;1183;LEMBERG OKOLICA;ŠMARJE PRI JELŠAH;168/1;7;;;1/1;;2155;;
-575901;1178;ROGATEC;ROGATEC;542/1;3;;;1/2;;540;;
-575901;1178;ROGATEC;ROGATEC;541/1;5;;;1/3;Kupnina po pogodbi je določena skupaj za zemljišča in objekte.za leto izgradnje ni podatka.;763;;
-575901;1178;ROGATEC;ROGATEC;541/1;5;;;1/3;Kupnina po pogodbi je določena skupaj za zemljišča in objekte. za leto izgradnje ni podatka.;763;;
-575901;1178;ROGATEC;ROGATEC;541/1;5;;;1/3;Kupnina po pogodbi je določena skupaj za zemljišča in objekte. Zaleto izgradnje ni podatka.;763;;
-575901;1178;ROGATEC;ROGATEC;542/1;5;;;1/2;Kupnina po pogodbi je določena skupaj za zemljišča in objekte. Zaleto izgradnje ni podatka.;540;;
-575899;1208;DOL;ŠMARJE PRI JELŠAH;18/2;9;;;1/1;Kupnina je določena za obe nepremičnini skupaj.;5564;;
-575900;1229;PODČETRTEK;PODČETRTEK;84/3;3;;;2/3;;986;;
-575900;1229;PODČETRTEK;PODČETRTEK;84/1;5;;;1/3;Kupnina po pogodbi je določena skupaj za solastniška deleža obeh nepremičnin.;287;;
-575900;1229;PODČETRTEK;PODČETRTEK;84/1;5;;;1/3;Kupnina po pogodbi je določena skupaj za solastniška deleža obeh nepremičnin.;287;;
-575897;1219;SODNA VAS;PODČETRTEK;312/3;5;;;1/1;;130;;
-575896;1178;ROGATEC;ROGATEC;1055;1;;;1/1;Kupnina je določena za obe nepremičnini skupaj.;546;;
-575896;1178;ROGATEC;ROGATEC;*63/1;5;;;1/1;Kupnina je določena za obe nepremičnini skupaj.;145;;
-575894;1165;DREVENIK;ROGAŠKA SLATINA;410;9;;;1/1;;539;;
-575899;1208;DOL;ŠMARJE PRI JELŠAH;12;9;;;1/1;Kupnina je določena za obe nepremičnini skupaj.;636;;
-575898;1127;PONKVICA;ŠENTJUR;961/5;3;;;1/1;;710;;
-575895;1175;DONAČKA GORA;ROGATEC;1117/6;3;;;1/2;;50;;
-575894;1165;DREVENIK;ROGAŠKA SLATINA;412/2;7;;;1/1;;1431;;
-575894;1165;DREVENIK;ROGAŠKA SLATINA;408;10;;;1/1;Nepremičnina je opredelejna delno kot kmetijsko, delno kot gozdno in delno kot stavbno zemljišče.;2084;;
-575894;1165;DREVENIK;ROGAŠKA SLATINA;412/1;5;;;1/1;Kupnina ni določena posebej za stavbo. Podatka o starosti objekta ni.;5269;;
-575894;1165;DREVENIK;ROGAŠKA SLATINA;412/3;5;;;1/1;Kupnina ni določena posebej za stavbo.;196;;
-575893;1208;DOL;ŠMARJE PRI JELŠAH;429;7;;;1/1;;519;;
-575893;1208;DOL;ŠMARJE PRI JELŠAH;466/1;7;;;1/1;;2984;;
-575893;1208;DOL;ŠMARJE PRI JELŠAH;427;7;;;1/1;;216;;
-575893;1208;DOL;ŠMARJE PRI JELŠAH;468;7;;;1/1;;468;;
-575893;1208;DOL;ŠMARJE PRI JELŠAH;488/2;7;;;1/1;;1016;;
-575893;1208;DOL;ŠMARJE PRI JELŠAH;430;7;;;1/1;;2392;;
