ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
476911;1;10.01.2020;15.11.2019;91000;0;;;;;;10.01.2020;10.01.2020;1;5
476913;1;10.01.2020;02.10.2019;8000;0;;;;;;10.01.2020;10.01.2020;1;5
476938;1;10.01.2020;21.11.2019;2630;0;;;;;;10.01.2020;10.01.2020;1;5
476939;1;10.01.2020;27.11.2019;9000;0;;;;;;10.01.2020;10.01.2020;1;5
476954;1;10.01.2020;27.11.2019;225000;0;;;;;;10.01.2020;10.01.2020;1;5
476960;1;10.01.2020;08.11.2019;300000;0;;;;;;10.01.2020;10.01.2020;1;5
476974;1;10.01.2020;01.10.2019;500;0;;;;;;10.01.2020;10.01.2020;1;5
476978;1;10.01.2020;19.11.2019;23000;0;;;;;;10.01.2020;10.01.2020;1;5
476999;1;10.01.2020;28.11.2019;100000;0;;;;;;10.01.2020;10.01.2020;1;5
477003;1;10.01.2020;04.11.2019;2200,37;0;;;;;;10.01.2020;10.01.2020;1;5
477015;1;10.01.2020;19.11.2019;16000;0;;;;;;10.01.2020;10.01.2020;1;5
477025;1;10.01.2020;21.11.2019;130477,1;0;;;;;;10.01.2020;10.01.2020;1;5
477053;1;10.01.2020;21.10.2019;25000;0;;;;;;10.01.2020;10.01.2020;1;5
477061;1;10.01.2020;03.10.2019;100000;0;;;;;;10.01.2020;10.01.2020;1;5
477068;1;10.01.2020;28.11.2019;140000;0;;;;;;10.01.2020;10.01.2020;1;5
477074;1;10.01.2020;21.10.2019;10069,85;0;;;;;;10.01.2020;10.01.2020;1;5
477087;1;10.01.2020;25.11.2019;92000;0;;;;;;10.01.2020;10.01.2020;1;5
477092;1;10.01.2020;18.11.2019;3278,5;0;;;;;;10.01.2020;10.01.2020;1;5
477095;1;10.01.2020;27.11.2019;9350;0;;;;;;10.01.2020;10.01.2020;1;5
477098;1;10.01.2020;28.11.2019;2620;0;;;;;;10.01.2020;10.01.2020;1;5
477106;1;10.01.2020;26.11.2019;20000;0;;;;;;10.01.2020;10.01.2020;1;5
477112;1;10.01.2020;09.10.2019;30000;0;;;;;;10.01.2020;10.01.2020;1;5
477125;1;10.01.2020;05.11.2019;32000;0;;;;;;10.01.2020;10.01.2020;1;5
477126;1;10.01.2020;29.10.2019;1229;0;;;;;;10.01.2020;10.01.2020;1;5
477127;1;10.01.2020;18.11.2019;1800;0;;;;;;10.01.2020;10.01.2020;1;5
477147;1;10.01.2020;22.11.2019;175000;0;;;;;;10.01.2020;10.01.2020;1;5
477175;1;10.01.2020;28.11.2019;120000;0;;;;;;10.01.2020;10.01.2020;1;5
477188;1;10.01.2020;27.11.2019;100000;0;;;;;;10.01.2020;10.01.2020;1;5
477194;1;10.01.2020;27.11.2019;215000;0;;;;;;10.01.2020;10.01.2020;1;5
477206;1;10.01.2020;23.11.2019;230000;0;;;;;;10.01.2020;10.01.2020;1;5
477223;1;10.01.2020;12.11.2019;11000;0;;;;;;10.01.2020;10.01.2020;1;5
477248;1;10.01.2020;28.11.2019;30000;0;;;;;;10.01.2020;10.01.2020;1;5
477250;1;10.01.2020;29.11.2019;325000;0;;;;;;10.01.2020;10.01.2020;1;5
477256;1;10.01.2020;26.11.2019;75000;0;;;;;;10.01.2020;10.01.2020;1;5
477260;1;10.01.2020;25.11.2019;19000;0;;;;;;10.01.2020;10.01.2020;1;5
477274;1;10.01.2020;06.11.2019;1300;0;;;;;;10.01.2020;10.01.2020;1;5
477276;1;10.01.2020;20.10.2019;22000;0;;;;;;10.01.2020;10.01.2020;1;5
477289;1;10.01.2020;27.11.2019;253;0;;;;;;10.01.2020;10.01.2020;1;5
477327;1;10.01.2020;27.11.2019;15500;0;;;;;;10.01.2020;10.01.2020;1;5
477357;1;10.01.2020;02.12.2019;90000;0;;;;;;10.01.2020;10.01.2020;1;5
477358;1;10.01.2020;08.11.2019;3640;0;;;;;;10.01.2020;10.01.2020;1;5
477367;1;10.01.2020;19.11.2019;3153,6;0;;;;;;10.01.2020;10.01.2020;1;5
477372;1;10.01.2020;25.11.2019;9700;0;;;;;;10.01.2020;10.01.2020;1;5
477379;1;10.01.2020;25.11.2019;20000;0;;;;;;10.01.2020;10.01.2020;1;5
477391;1;10.01.2020;02.12.2019;45000;0;;;;;;10.01.2020;10.01.2020;1;5
477415;1;10.01.2020;30.09.2019;2500;0;;;;;;10.01.2020;10.01.2020;1;5
477421;1;10.01.2020;25.11.2019;7183,4;0;;;;;;10.01.2020;10.01.2020;1;5
477438;1;10.01.2020;21.11.2019;30000;0;;;;;;10.01.2020;10.01.2020;1;5
477446;1;10.01.2020;05.01.2019;4000;0;;;;;;10.01.2020;10.01.2020;1;5
477447;1;10.01.2020;05.10.2019;4300;0;;;;;;10.01.2020;10.01.2020;1;5
477448;1;10.01.2020;25.11.2019;110000;0;;;;;;10.01.2020;10.01.2020;1;5
477454;1;10.01.2020;16.10.2019;1520;0;;;;;;10.01.2020;10.01.2020;1;5
477467;1;10.01.2020;19.11.2019;75000;0;;;;;;10.01.2020;10.01.2020;1;5
477470;1;10.01.2020;20.11.2019;60000;0;;;;;;10.01.2020;10.01.2020;1;5
477481;1;10.01.2020;27.11.2019;230000;0;;;;;;10.01.2020;10.01.2020;1;5
477500;1;10.01.2020;25.11.2019;13000;0;;;;;;10.01.2020;10.01.2020;1;5
477505;1;10.01.2020;23.11.2019;35000;0;;;;;;10.01.2020;10.01.2020;1;5
477506;1;10.01.2020;14.11.2019;28377,7;0;;;;;;10.01.2020;10.01.2020;1;5
477519;1;10.01.2020;03.12.2019;105000;0;;;;;;10.01.2020;10.01.2020;1;5
477546;1;10.01.2020;24.11.2019;9500;0;;;;;;10.01.2020;10.01.2020;1;5
477560;1;10.01.2020;04.12.2019;70810;0;;;;;;10.01.2020;10.01.2020;1;5
477565;1;10.01.2020;28.10.2019;93000;0;;;;;;10.01.2020;10.01.2020;1;5
477570;1;10.01.2020;18.11.2019;19500;0;;;;;;10.01.2020;10.01.2020;1;5
477575;1;10.01.2020;26.11.2019;4000;0;;;;;;10.01.2020;10.01.2020;1;5
477595;1;10.01.2020;03.12.2019;140000;0;;;;;;10.01.2020;10.01.2020;1;5
477596;1;10.01.2020;27.11.2019;72000;0;;;;;;10.01.2020;10.01.2020;1;5
477601;1;10.01.2020;13.11.2019;142000;0;;;;;;10.01.2020;10.01.2020;1;5
477604;1;10.01.2020;05.12.2019;108000;0;;;;;;10.01.2020;10.01.2020;1;5
477612;1;10.01.2020;27.11.2019;424000;0;;;;;;10.01.2020;10.01.2020;1;5
477616;1;10.01.2020;27.11.2019;23000;0;;;;;;10.01.2020;10.01.2020;1;5
477617;1;10.01.2020;18.11.2019;454;0;;;;;;10.01.2020;10.01.2020;1;5
477622;1;10.01.2020;08.10.2019;4557,6;0;;;;;;10.01.2020;10.01.2020;1;5
477629;1;10.01.2020;15.10.2019;2150;0;;;;;;10.01.2020;10.01.2020;1;5
477642;1;10.01.2020;01.12.2019;2588;0;;;;;;10.01.2020;10.01.2020;1;5
477667;1;10.01.2020;21.11.2019;715000;0;;;;;;10.01.2020;10.01.2020;1;5
477678;1;10.01.2020;05.11.2019;129000;0;;;;;;10.01.2020;10.01.2020;1;5
477684;1;10.01.2020;27.11.2019;21900;0;;;;;;10.01.2020;10.01.2020;1;5
477686;1;10.01.2020;10.10.2019;8000;0;;;;;;10.01.2020;10.01.2020;1;5
477687;1;10.01.2020;10.11.2019;122500;0;;;;;;10.01.2020;10.01.2020;1;5
477698;1;10.01.2020;27.11.2019;14000;0;;;;;;10.01.2020;10.01.2020;1;5
477705;1;10.01.2020;04.12.2019;66000;0;;;;;;10.01.2020;10.01.2020;1;5
477726;1;10.01.2020;10.11.2019;60000;0;;;;;;10.01.2020;10.01.2020;1;5
477728;1;10.01.2020;02.12.2019;210000;0;;;;;;10.01.2020;10.01.2020;1;5
477732;1;10.01.2020;04.11.2019;32000;0;;;;;;10.01.2020;10.01.2020;1;5
477739;1;10.01.2020;20.11.2019;5000;0;;;;;;10.01.2020;10.01.2020;1;5
477758;1;10.01.2020;13.11.2019;8500;0;;;;;;10.01.2020;10.01.2020;1;5
477762;1;10.01.2020;12.11.2019;895;0;;;;;;10.01.2020;10.01.2020;1;5
477766;1;10.01.2020;03.12.2019;150000;0;;;;;;10.01.2020;10.01.2020;1;5
477769;1;10.01.2020;25.11.2019;24690;0;;;;;;10.01.2020;10.01.2020;1;5
477776;1;10.01.2020;04.12.2019;83500;0;;;;;;10.01.2020;10.01.2020;1;5
477788;1;10.01.2020;06.12.2019;100000;0;;;;;;10.01.2020;10.01.2020;1;5
477791;1;10.01.2020;30.10.2019;225000;0;;;;;;10.01.2020;10.01.2020;1;5
477808;1;10.01.2020;15.11.2019;15000;0;;;;;;10.01.2020;10.01.2020;1;5
477821;1;10.01.2020;04.12.2019;78000;0;;;;;;10.01.2020;10.01.2020;1;5
477824;1;10.01.2020;21.11.2019;64000;0;;;;;;10.01.2020;10.01.2020;1;5
477829;1;10.01.2020;14.11.2019;58000;0;;;;;;10.01.2020;10.01.2020;1;5
477834;1;10.01.2020;27.11.2019;450;0;;;;;;10.01.2020;10.01.2020;1;5
477838;1;10.01.2020;19.11.2019;1000;0;;;;;;10.01.2020;10.01.2020;1;5
477840;1;10.01.2020;28.11.2019;76000;0;;;;;;10.01.2020;10.01.2020;1;5
477843;1;10.01.2020;04.12.2019;170000;0;;;;;;10.01.2020;10.01.2020;1;5
477848;1;10.01.2020;29.11.2019;55707,75;0;;;;;;10.01.2020;10.01.2020;1;5
477857;1;10.01.2020;26.11.2019;65000;0;;;;;;10.01.2020;10.01.2020;1;5
477861;1;10.01.2020;02.12.2019;60000;0;;;;;;10.01.2020;10.01.2020;1;5
477863;1;10.01.2020;31.10.2019;13000;0;;;;;;10.01.2020;10.01.2020;1;5
477867;1;10.01.2020;27.11.2019;19300;0;;;;;;10.01.2020;10.01.2020;1;5
477871;1;10.01.2020;02.12.2019;24010;0;;;;;;10.01.2020;10.01.2020;1;5
477898;1;10.01.2020;11.11.2019;132000;0;;;;;;10.01.2020;10.01.2020;1;5
477902;1;10.01.2020;29.11.2019;112000;0;;;;;;10.01.2020;10.01.2020;1;5
477913;1;10.01.2020;02.12.2019;25000;0;;;;;;10.01.2020;10.01.2020;1;5
477941;1;10.01.2020;02.12.2019;490000;0;;;;;;10.01.2020;10.01.2020;1;5
477947;1;10.01.2020;25.11.2019;151;0;;;;;;10.01.2020;10.01.2020;1;5
477967;1;10.01.2020;05.12.2019;4500;0;;;;;;10.01.2020;10.01.2020;1;5
477977;1;10.01.2020;03.12.2019;44500;0;;;;;;10.01.2020;10.01.2020;1;5
477987;1;10.01.2020;05.12.2019;95000;0;;;;;;10.01.2020;10.01.2020;1;5
478001;1;10.01.2020;04.11.2019;2850;0;;;;;;10.01.2020;10.01.2020;1;5
478003;1;10.01.2020;09.11.2019;80000;0;;;;;;10.01.2020;10.01.2020;1;5
478006;1;10.01.2020;20.11.2019;840;0;;;;;;10.01.2020;10.01.2020;1;5
478015;1;10.01.2020;25.11.2019;29500;0;;;;;;10.01.2020;10.01.2020;1;5
478024;1;10.01.2020;26.11.2019;155200;0;;;;;;10.01.2020;10.01.2020;1;5
478030;1;10.01.2020;26.11.2019;214000;0;;;;;;10.01.2020;10.01.2020;1;5
478040;1;10.01.2020;21.10.2019;8800;0;;;;;;10.01.2020;10.01.2020;1;5
478044;1;10.01.2020;08.12.2019;2000;0;;;;;;10.01.2020;10.01.2020;1;5
478049;1;10.01.2020;13.11.2019;5000;0;;;;;;10.01.2020;10.01.2020;1;5
478051;1;10.01.2020;16.09.2019;45000;0;;;;;;10.01.2020;10.01.2020;1;5
478078;1;10.01.2020;10.12.2019;146000;0;;;;;;10.01.2020;10.01.2020;1;5
478084;1;10.01.2020;07.10.2019;200;0;;;;;;10.01.2020;10.01.2020;1;5
478087;1;10.01.2020;02.12.2019;25000;0;;;;;;10.01.2020;10.01.2020;1;5
478104;1;10.01.2020;27.11.2019;50400;0;;;;;;10.01.2020;10.01.2020;1;5
478120;1;10.01.2020;03.12.2019;15000;0;;;;;;10.01.2020;10.01.2020;1;5
478133;1;10.01.2020;30.10.2019;1500;0;;;;;;10.01.2020;10.01.2020;1;5
478139;1;10.01.2020;28.11.2019;90000;0;;;;;;10.01.2020;10.01.2020;1;5
478144;1;10.01.2020;05.11.2019;800;0;;;;;;10.01.2020;10.01.2020;1;5
478159;1;10.01.2020;05.12.2019;115000;0;;;;;;10.01.2020;10.01.2020;1;5
478176;1;10.01.2020;06.12.2019;160000;0;;;;;;10.01.2020;10.01.2020;1;5
478185;1;10.01.2020;09.12.2019;32000;0;;;;;;10.01.2020;10.01.2020;1;5
478190;1;10.01.2020;09.12.2019;93500;0;;;;;;10.01.2020;10.01.2020;1;5
478196;1;10.01.2020;02.10.2019;5582;0;;;;;;10.01.2020;10.01.2020;1;5
478206;1;10.01.2020;08.11.2019;40000;0;;;;;;10.01.2020;10.01.2020;1;5
478215;1;10.01.2020;20.11.2019;560;0;;;;;;10.01.2020;10.01.2020;1;5
478217;1;10.01.2020;10.12.2019;110000;0;;;;;;10.01.2020;10.01.2020;1;5
478224;1;10.01.2020;09.12.2019;11300;0;;;;;;10.01.2020;10.01.2020;1;5
478244;1;10.01.2020;10.12.2019;70000;0;;;;;;10.01.2020;10.01.2020;1;5
478274;1;10.01.2020;05.12.2019;37500;0;;;;;;10.01.2020;10.01.2020;1;5
478279;1;10.01.2020;05.12.2019;132000;0;;;;;;10.01.2020;10.01.2020;1;5
478299;1;10.01.2020;11.12.2019;67000;0;;;;;;11.01.2020;10.01.2020;1;5
478302;1;10.01.2020;09.12.2019;1302,72;0;;;;;;11.01.2020;10.01.2020;1;5
478306;1;10.01.2020;10.12.2019;10000;0;;;;;;11.01.2020;10.01.2020;1;5
478309;1;10.01.2020;06.01.2019;434,77;0;;;;;;11.01.2020;10.01.2020;1;5
478312;1;10.01.2020;18.11.2019;7000;0;;;;;;11.01.2020;10.01.2020;1;5
478315;1;10.01.2020;04.12.2019;88000;0;;;;;;11.01.2020;10.01.2020;1;5
478320;1;10.01.2020;30.11.2019;70000;0;;;;;;11.01.2020;10.01.2020;1;5
478330;1;10.01.2020;04.10.2019;239;0;;;;;;11.01.2020;10.01.2020;1;5
478331;1;10.01.2020;04.10.2019;352;0;;;;;;11.01.2020;10.01.2020;1;5
478332;1;10.01.2020;09.12.2019;59000;0;;;;;;11.01.2020;10.01.2020;1;5
478345;1;11.01.2020;05.12.2019;1200;0;;;;;;11.01.2020;11.01.2020;1;5
478346;1;11.01.2020;22.10.2019;55993,52;0;;;;;;11.01.2020;11.01.2020;1;5
478350;1;11.01.2020;10.12.2019;145000;0;;;;;;11.01.2020;11.01.2020;1;5
478366;1;11.01.2020;10.12.2019;43000;0;;;;;;11.01.2020;11.01.2020;1;5
478369;1;11.01.2020;27.09.2019;162500;0;;;;;;11.01.2020;11.01.2020;1;5
478384;1;11.01.2020;11.12.2019;30000;0;;;;;;11.01.2020;11.01.2020;1;5
478385;1;11.01.2020;02.12.2019;180000;0;;;;;;11.01.2020;11.01.2020;1;5
478387;1;11.01.2020;05.12.2019;60000;0;;;;;;11.01.2020;11.01.2020;1;5
478397;1;11.01.2020;02.12.2019;70000;0;;;;;;11.01.2020;11.01.2020;1;5
478405;1;11.01.2020;10.12.2019;94000;0;;;;;;11.01.2020;11.01.2020;1;5
478435;1;11.01.2020;11.11.2019;35000;0;;;;;;11.01.2020;11.01.2020;1;5
478437;1;11.01.2020;02.07.2019;25000;0;;;;;;11.01.2020;11.01.2020;1;5
478438;1;11.01.2020;12.11.2019;58000;0;;;;;;11.01.2020;11.01.2020;1;5
478453;1;11.01.2020;03.12.2019;1630;0;;;;;;11.01.2020;11.01.2020;1;5
478467;1;11.01.2020;09.12.2019;4150;0;;;;;;11.01.2020;11.01.2020;1;5
478478;1;11.01.2020;25.11.2019;10492;0;;;;;;11.01.2020;11.01.2020;1;5
478482;1;11.01.2020;09.12.2019;600000;0;;;;;;11.01.2020;11.01.2020;1;5
478486;1;11.01.2020;21.11.2019;55000;0;;;;;;11.01.2020;11.01.2020;1;5
