ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
-474104;968;PODKRAJ;VELENJE;787/25;3;;;1/1;;163;;
-474094;1316;STARA VAS;KRŠKO;362/10;6;;;34/766;;766;;
-474093;1316;STARA VAS;KRŠKO;362/10;6;;;34/766;;766;;
-474092;1316;STARA VAS;KRŠKO;362/10;6;;;34/766;;766;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;428;9;;;1/11;;5665;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;*52/2;7;;;1/11;;54;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;*52/1;7;;;1/11;;201;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;438;9;;;1/11;;611;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;439/2;9;;;1/11;;89108;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;439/4;9;;;1/11;;1366;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;424;7;;;1/11;;9010;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;432/1;9;;;1/11;;12769;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;*52/3;7;;;1/11;;36;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;444/1;7;;;1/11;;11840;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;431;7;;;1/11;;4514;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;445/3;7;;;1/11;;1010;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;435;9;;;1/11;;7193;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;430/3;7;;;1/11;;2214;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;436;9;;;1/11;;1421;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;442/2;7;;;1/11;;7872;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;441/3;7;;;1/11;;5020;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;433;9;;;1/11;;5431;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;420/2;7;;;1/11;;295;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;441/2;7;;;1/11;;2924;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;422;7;;;1/11;;3741;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;430/2;9;;;1/11;;1815;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;434;9;;;1/11;;4606;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;*54;7;;;1/11;;421;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;430/1;7;;;1/11;;19568;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;*53;7;;;1/11;;234;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;421;7;;;1/11;;26561;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;426;7;;;1/11;;37772;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;427;7;;;1/11;;3363;;
-474091;839;DANIJEL PRI TRBONJAH;DRAVOGRAD;439/3;9;;;1/11;;31836;;
-474090;2370;DOL-OTLICA;AJDOVŠČINA;168/5;9;;;1/1;;3240;;
-474089;863;ŠENTILJ POD TURJAKOM;MISLINJA;449/20;1;;;1/1;;464;;
-474087;853;ŠMARTNO PRI SLOVENJ GRADCU;SLOVENJ GRADEC;*246;1;;;1/1;;614;;
-474086;1316;STARA VAS;KRŠKO;362/10;6;;;17/766;;766;;
-474083;1723;VIČ;LJUBLJANA;216;5;;;1/2;;505;;
-474081;1632;OTOK I;CERKNICA;127/2;9;;;1/1;;10448;;
-474081;1632;OTOK I;CERKNICA;149/6;9;;;1/1;;1810;;
-474081;1632;OTOK I;CERKNICA;1054/3;7;;;1/1;;13445;;
-474081;1632;OTOK I;CERKNICA;164;9;;;1/2;;3647;;
-474081;1632;OTOK I;CERKNICA;3028;7;;;1/2;;28953;;
-474081;1632;OTOK I;CERKNICA;1148;9;;;1/3;;14810;;
-474081;1632;OTOK I;CERKNICA;3090/1;7;;;1/1;;5505;;
-474081;1632;OTOK I;CERKNICA;131;7;;;1/1;;338;;
-474081;1632;OTOK I;CERKNICA;3091;7;;;1/1;;6200;;
-474081;1632;OTOK I;CERKNICA;149/1;7;;;1/1;;19845;;
-474081;1632;OTOK I;CERKNICA;83;7;;;1/2;;36490;;
-474081;1632;OTOK I;CERKNICA;3121;9;;;1/3;;6984;;
-474081;1632;OTOK I;CERKNICA;126;9;;;1/1;;5701;;
-474081;1632;OTOK I;CERKNICA;3119;7;;;1/1;;8128;;
-474081;1632;OTOK I;CERKNICA;1051/1;7;;;1/1;;3940;;
-474081;1632;OTOK I;CERKNICA;130;7;;;1/1;;5700;;
-474081;1632;OTOK I;CERKNICA;3099/2;7;;;1/1;;8941;;
-474081;1632;OTOK I;CERKNICA;2965;7;;;1/2;;24305;;
-474080;1632;OTOK I;CERKNICA;389/1;7;;;1/1;;5558;;
-474080;1632;OTOK I;CERKNICA;400;7;;;1/1;;532;;
-474080;1633;GORENJE JEZERO;CERKNICA;890;7;;;1/1;;313;;
-474080;1632;OTOK I;CERKNICA;161;7;;;1/1;;6675;;
-474080;1632;OTOK I;CERKNICA;427;7;;;1/1;;795;;
-474079;1678;OTOK II;CERKNICA;1305;7;;;1/1;;10934;;
-474078;1632;OTOK I;CERKNICA;506;7;;;1/1;;13797;;
-474078;1632;OTOK I;CERKNICA;500;7;;;1/1;;2011;;
-474075;722;JEŠENCA;RAČE-FRAM;1305/2;3;;;1/1;;1175;;
-474074;2503;PARJE;PIVKA;4/1;3;;;1/2;;564;;
-474074;2503;PARJE;PIVKA;4/2;5;;;1/6;;734;;
-474074;2503;PARJE;PIVKA;4/2;5;;;1/6;;734;;
-474074;2503;PARJE;PIVKA;4/2;5;;;1/6;;734;;
-474073;753;SLOVENSKA BISTRICA;SLOVENSKA BISTRICA;220/26;6;;;1/1;;24;;
-474073;753;SLOVENSKA BISTRICA;SLOVENSKA BISTRICA;220/25;5;;;1/1;;57;;
-474073;753;SLOVENSKA BISTRICA;SLOVENSKA BISTRICA;220/19;5;;;1/1;;242;;
-474069;2606;SEMEDELA;KOPER;493/17;6;;;1/1;;75;;
-474069;2606;SEMEDELA;KOPER;493/12;3;;;1/1;;41;;
-474069;2606;SEMEDELA;KOPER;493/14;3;;;1/3;;33;;
-474069;2606;SEMEDELA;KOPER;493/15;3;;;1/2;;33;;
-474069;2606;SEMEDELA;KOPER;493/16;5;;;3815/10000;;254;;
-474067;2130;PŠEVO;KRANJ;573/2;5;;;1/1;;403;;
-474066;1738;DRAVLJE;LJUBLJANA;369/1;3;;;54/100;;395;;
-474063;754;ZGORNJA BISTRICA;SLOVENSKA BISTRICA;944/1;5;;;0/1;dejanska raba dela stavbe:   hlev, svinjak, staja, drugi podobni deli stavbe za domačo rejo živali;721;;
-474066;1738;DRAVLJE;LJUBLJANA;369/5;3;;;54/100;;303;;
-474064;768;HOŠNICA;SLOVENSKA BISTRICA;40/65;5;;;1/1;;999;;
-474063;754;ZGORNJA BISTRICA;SLOVENSKA BISTRICA;944/4;3;;;1/1;;193;;
-474063;754;ZGORNJA BISTRICA;SLOVENSKA BISTRICA;944/1;5;;;1/1;;721;;
-474060;1111;JERNEJ PRI LOČAH;SLOVENSKE KONJICE;541/28;9;;;1/1;;882;;
-474060;1111;JERNEJ PRI LOČAH;SLOVENSKE KONJICE;541/22;5;;;1/1;;724;;
-474039;2200;BOHINJSKA BISTRICA;BOHINJ;11/4;3;;;1/1;;113;;
-474039;2200;BOHINJSKA BISTRICA;BOHINJ;11/6;3;;;1/1;;632;;
-474035;2313;ŠEMPAS;NOVA GORICA;*524;5;;;1/1;;56;;
-474034;2200;BOHINJSKA BISTRICA;BOHINJ;51/3;3;;;1/1;;34;;
-474034;2200;BOHINJSKA BISTRICA;BOHINJ;52;3;;;1/1;;729;;
-474034;2200;BOHINJSKA BISTRICA;BOHINJ;51/1;3;;;1/1;;1058;;
-474034;2200;BOHINJSKA BISTRICA;BOHINJ;53;3;;;1/1;;161;;
-474033;1738;DRAVLJE;LJUBLJANA;369/5;3;;;46/100;;303;;
-474033;1738;DRAVLJE;LJUBLJANA;369/1;3;;;46/100;;395;;
-474031;1901;MLAKA;KOMENDA;216/11;3;;;1/1;;84;;
-474027;1898;MEKINJE;KAMNIK;240/9;3;;;1/1;;325;;
-474027;1898;MEKINJE;KAMNIK;240/5;3;;;1/1;;313;;
-474027;1898;MEKINJE;KAMNIK;240/8;3;;;1/1;;334;;
-474019;1724;BREZOVICA;BREZOVICA;605/99;3;;;1/1;;12;;
-474019;1724;BREZOVICA;BREZOVICA;605/105;3;;;2/46;;2576;;
-474019;1724;BREZOVICA;BREZOVICA;605/34;3;;;1/1;;129;;
