ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
-474104;1;31.12.2009;01.07.2009;200;0;;;;;;23.07.2015;31.12.2009;1;4
-474090;1;30.12.2009;30.12.2009;2916;1;;;;;;23.07.2015;30.12.2009;1;4
-474083;1;30.12.2009;05.10.2009;210000;0;;;;;;23.07.2015;30.12.2009;1;4
-474081;1;29.12.2009;28.12.2009;16037;0;;;;;;23.07.2015;29.12.2009;1;4
-474079;1;29.12.2009;28.12.2009;1003;0;;;;;;23.07.2015;29.12.2009;1;4
-474069;1;29.12.2009;27.10.2009;242000;0;;;;;;23.07.2015;29.12.2009;1;4
-474027;4;29.12.2009;30.10.2009;83212,06;1;;;;;;23.07.2015;29.12.2009;1;4
-474010;1;29.12.2009;02.12.2009;367000;1;;;;;;23.07.2015;29.12.2009;1;4
-473993;1;28.12.2009;14.12.2009;70000;1;;;;;;23.07.2015;28.12.2009;1;4
-473972;1;28.12.2009;23.12.2009;276000;1;;;;pogodbena vrednost 276.000,00 EUR je vrednost z DDV.;;23.07.2015;28.12.2009;1;4
-473931;1;23.12.2009;22.12.2009;315;0;;;;;;23.07.2015;23.12.2009;1;4
-473914;1;23.12.2009;19.11.2009;82000;0;;;;;;23.07.2015;23.12.2009;1;4
-473906;1;23.12.2009;24.11.2009;58212;0;;;;;;23.07.2015;23.12.2009;1;4
-473902;1;22.12.2009;23.11.2009;600;1;;;;;;23.07.2015;22.12.2009;1;4
-473874;1;22.12.2009;04.12.2009;54000;0;;;;;;23.07.2015;22.12.2009;1;4
-473873;1;22.12.2009;20.10.2009;133293,77;1;;;;;;23.07.2015;22.12.2009;1;4
-473866;1;21.12.2009;11.12.2009;138500;0;;;;;;23.07.2015;21.12.2009;1;4
-473832;1;18.12.2009;30.11.2009;68000;0;;;;;;23.07.2015;18.12.2009;1;4
-473826;1;18.12.2009;16.12.2009;6315;0;;;;;;23.07.2015;18.12.2009;1;4
-473821;1;18.12.2009;17.12.2009;4949;0;;;;;;23.07.2015;18.12.2009;1;4
-473766;1;17.12.2009;25.11.2009;39,33;0;;;;;;23.07.2015;17.12.2009;1;4
-473751;1;17.12.2009;17.11.2009;283,5;0;;;;;;23.07.2015;17.12.2009;1;4
-473740;4;17.12.2009;12.11.2009;83340;0;;;;;;23.07.2015;17.12.2009;1;4
-473715;1;17.12.2009;20.11.2009;14000;0;;;;;;23.07.2015;17.12.2009;1;4
-473713;1;17.12.2009;27.11.2009;12000;0;;;;;;23.07.2015;17.12.2009;1;4
-473703;1;17.12.2009;23.10.2009;76000;0;;;;;;23.07.2015;17.12.2009;1;4
-473700;1;17.12.2009;27.11.2009;21000;0;;;;;;23.07.2015;17.12.2009;1;4
-473660;1;17.12.2009;11.11.2009;700;0;;;;;;23.07.2015;17.12.2009;1;4
-473656;1;17.12.2009;25.11.2009;500;0;;;;;;23.07.2015;17.12.2009;1;4
