ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
-183401;78;SEBEBORCI;MORAVSKE TOPLICE;1888;7;;;1/1;;772;;
-183401;78;SEBEBORCI;MORAVSKE TOPLICE;1889;7;;;1/1;;4602;;
-183401;78;SEBEBORCI;MORAVSKE TOPLICE;1890;7;;;1/1;;1569;;
-182191;104;RAKIČAN;MURSKA SOBOTA;633;7;;;1/1;;538;;
-162469;2035;ŠKOFJA LOKA;ŠKOFJA LOKA;1109;5;;;1/1;;254;;
-84925;1361;PODGORJE;SEVNICA;394;9;;;1/1;;1097;;
-88514;778;BREZJE PRI POLJČANAH;POLJČANE;273/6;3;;;1/1;;1078;;
-84932;1391;LOG;SEVNICA;1936;7;;;1/1;;1834;;
-84931;1397;TRŽIŠČE;SEVNICA;1674/2;9;;;1/1;;1760;;
-84930;1361;PODGORJE;SEVNICA;284/3;7;;;1/1;;2107;;
-84926;1379;SEVNICA;SEVNICA;221/5;3;;;1/1;;278;;
-84926;1379;SEVNICA;SEVNICA;221/3;8;;;1/1;;236;;
-84926;1379;SEVNICA;SEVNICA;221/1;5;;;1/1;;302;;
-84926;1379;SEVNICA;SEVNICA;220/1;9;;;1/1;;1940;;
-84926;1379;SEVNICA;SEVNICA;221/4;7;;;1/1;;1156;;
-84925;1361;PODGORJE;SEVNICA;395;9;;;1/1;;13236;;
-84923;1366;LEDINA;SEVNICA;1261/3;3;;;1/1;;759;;
-84923;1366;LEDINA;SEVNICA;1261/4;3;;;1/1;;858;;
-84923;1366;LEDINA;SEVNICA;1261/1;5;;;1/1;;641;;
-84922;1366;LEDINA;SEVNICA;1261/2;5;;;1/1;;444;;
-84922;1366;LEDINA;SEVNICA;1261/2;5;;;1/1;;444;;
-84917;1391;LOG;SEVNICA;2302/1;3;;;1/1;;2701;;
-84924;1379;SEVNICA;SEVNICA;423/4;5;;;1/1;;440;;
-84922;1366;LEDINA;SEVNICA;1260/3;3;;;1/1;;397;;
-84920;1389;GOVEJI DOL;SEVNICA;1042/7;5;;;1/1;;135;;
-84920;1389;GOVEJI DOL;SEVNICA;1042/4;5;;;1/1;;845;;
-84919;1235;DRENSKO REBRO;KOZJE;65/7;7;;;1/1;;1867;;
-84922;1366;LEDINA;SEVNICA;1503/10;7;;;1/1;;58;;
-84922;1366;LEDINA;SEVNICA;1260/5;7;;;1/1;;866;;
-84917;1391;LOG;SEVNICA;2302/9;3;;;1/1;;446;;
-84917;1391;LOG;SEVNICA;2312/5;3;;;1/1;;339;;
-84917;1391;LOG;SEVNICA;2307/2;10;;;1/1;;1352;;
-84917;1391;LOG;SEVNICA;2307/1;3;;;1/1;;4298;;
-84902;659;TABOR;MARIBOR;1523;3;;;1/3;;198;;
-84902;659;TABOR;MARIBOR;1523;5;;;1/3;;66;;
-84898;2712;DOBRAVA;MARIBOR;1165;9;;;1/1;;557;;
-84898;2712;DOBRAVA;MARIBOR;1166/1;9;;;1/1;;1319;;
-84896;604;GRADIŠKA;KUNGOTA;499/15;7;;;1/1;;144;;
-84885;1422;TREBNJE;TREBNJE;423/3;3;;;1/1;;1917;;
-84888;1424;ŠTEFAN;TREBNJE;222/1;7;;;17/36;;5150;;
-84888;1424;ŠTEFAN;TREBNJE;222/3;7;;;17/36;;2374;;
-84888;1424;ŠTEFAN;TREBNJE;222/2;7;;;17/36;;2302;;
-84885;1422;TREBNJE;TREBNJE;422/16;3;;;1/1;;830;;
-84887;1422;TREBNJE;TREBNJE;422/20;3;;;1/1;;890;;
-84882;2703;HRUŠICA;LOGATEC;18/38;5;;;1/1;;1110;;
-84879;1115;SLOVENSKE KONJICE;SLOVENSKE KONJICE;547/12;3;;;1/1;;474;;
-84875;1099;GORENJE PRI ZREČAH;ZREČE;666;7;;;1/1;;3751;;
-84875;1099;GORENJE PRI ZREČAH;ZREČE;661;7;;;1/1;;2885;;
-84875;1099;GORENJE PRI ZREČAH;ZREČE;663/1;7;;;1/1;;1565;;
-84875;1099;GORENJE PRI ZREČAH;ZREČE;664;7;;;1/1;;1946;;
-84875;1099;GORENJE PRI ZREČAH;ZREČE;667;7;;;1/1;;392;;
-84875;1099;GORENJE PRI ZREČAH;ZREČE;660;9;;;1/1;;3798;;
-84875;1099;GORENJE PRI ZREČAH;ZREČE;662;7;;;1/1;;950;;
-84871;1119;LOČE;SLOVENSKE KONJICE;241/6;3;;;1/1;;719;;
-84863;751;ČREŠNJEVEC;SLOVENSKA BISTRICA;686/348;8;;;1/1;;766;;
-84862;778;BREZJE PRI POLJČANAH;POLJČANE;217/2;10;;;1/1;;325;;
-84862;778;BREZJE PRI POLJČANAH;POLJČANE;217/2;5;;;1/1;;69;;
-84858;1399;ŠENTRUPERT;ŠENTRUPERT;815/10;7;;;1/1;;633;;
-84875;1099;GORENJE PRI ZREČAH;ZREČE;663/2;7;;;1/1;;252;;
-84875;1099;GORENJE PRI ZREČAH;ZREČE;665;7;;;1/1;;1050;;
-84875;1099;GORENJE PRI ZREČAH;ZREČE;679;7;;;1/1;;162;;
-84866;2611;MAREZIGE;KOPER;*124/2;3;;;9/10;;116;;
-84866;2611;MAREZIGE;KOPER;*124/2;5;;;9/10;;116;;
-84865;2605;KOPER;KOPER;189;3;;;1/1;;42;;
-84865;2605;KOPER;KOPER;190;3;;;1/1;;58;;
-84865;2605;KOPER;KOPER;189;5;;;1/1;;42;;
-84865;2605;KOPER;KOPER;190;5;;;1/1;;58;;
-84858;1399;ŠENTRUPERT;ŠENTRUPERT;808/6;8;;;1/1;;325;;
-84858;1399;ŠENTRUPERT;ŠENTRUPERT;815/2;7;;;1/1;;517;;
-84858;1399;ŠENTRUPERT;ŠENTRUPERT;818/5;8;;;1/1;;816;;
-84858;1399;ŠENTRUPERT;ŠENTRUPERT;818/20;8;;;1/1;;1065;;
-84858;1399;ŠENTRUPERT;ŠENTRUPERT;818/21;8;;;1/1;;48;;
-84858;1399;ŠENTRUPERT;ŠENTRUPERT;818/20;5;;;1/1;;57;;
-84857;2263;AVČE;KANAL;*62;5;;;1/1;;158;;
-84821;778;BREZJE PRI POLJČANAH;POLJČANE;269/5;5;;;1/1;;868;;
-84817;1724;BREZOVICA;BREZOVICA;2350/8;3;;;1/1;;570;;
-84757;1145;PLANINCA;ŠENTJUR;358;7;;;1/1;;3521;;
-84797;1697;LANIŠČE;ŠKOFLJICA;783/1;3;;;1/1;;1146;;
-84787;2102;KOKRICA;KRANJ;900;3;;;1/1;;855;;
-84786;2487;RAKITNIK;POSTOJNA;1323/5;5;;;1/2;;420;;
-84797;1697;LANIŠČE;ŠKOFLJICA;782/1;5;;;1/1;;559;;
-84797;1697;LANIŠČE;ŠKOFLJICA;782/1;5;;;1/1;;559;;
-84780;1976;PRESKA;MEDVODE;363/2;3;;;1/1;;854;;
-84775;2478;HRAŠČE;POSTOJNA;2500/19;10;;;1/1;;71;;
-84775;2478;HRAŠČE;POSTOJNA;2500/18;5;;;1/1;;41;;
-84774;2478;HRAŠČE;POSTOJNA;2500/26;10;;;1/1;;153;;
-84770;2478;HRAŠČE;POSTOJNA;2500/28;10;;;1/1;;64;;
-84769;1723;VIČ;LJUBLJANA;2099/24;10;;;1/19;;670;;
-84766;2484;HRUŠEVJE;POSTOJNA;380/99;7;;;1/1;;15974;;
-84758;1697;LANIŠČE;ŠKOFLJICA;1426/5;3;;;1/1;;412;;
-84757;1145;PLANINCA;ŠENTJUR;314/1;7;;;1/1;;557;;
-84757;1145;PLANINCA;ŠENTJUR;314/3;7;;;1/1;;1026;;
-84757;1145;PLANINCA;ŠENTJUR;325;7;;;1/1;;514;;
-84757;1145;PLANINCA;ŠENTJUR;357;7;;;1/1;;4798;;
-84757;1145;PLANINCA;ŠENTJUR;431/3;7;;;1/1;;978;;
-84757;1145;PLANINCA;ŠENTJUR;431/2;7;;;1/1;;972;;
-84757;1145;PLANINCA;ŠENTJUR;359;7;;;1/1;;3187;;
-84757;1145;PLANINCA;ŠENTJUR;314/2;7;;;1/1;;1895;;
-84757;1145;PLANINCA;ŠENTJUR;354;7;;;1/1;;4484;;
-84757;1145;PLANINCA;ŠENTJUR;38/1.S;5;;;1/1;;61;;
-84757;1145;PLANINCA;ŠENTJUR;38/2.S;5;;;1/1;;29;;
-84743;1705;PRESERJE;BREZOVICA;708/6;3;;;1/2;;251;;
-84743;1705;PRESERJE;BREZOVICA;708/2;3;;;1/1;;635;;
-84735;2045;STANIŠE;ŠKOFJA LOKA;39/2;3;;;1/1;;603;;
-84735;2045;STANIŠE;ŠKOFJA LOKA;54.S;5;;;1/1;;203;;
-84733;997;GOTOVLJE;ŽALEC;522/86;7;;;1/1;;738;;
-84733;997;GOTOVLJE;ŽALEC;522/167;3;;;1/1;;420;;
-84733;997;GOTOVLJE;ŽALEC;522/87;5;;;1/1;;219;;
-84731;1632;OTOK I;CERKNICA;213;7;;;1/1;;12516;;
-84732;1661;BEGUNJE PRI CERKNICI;CERKNICA;915;7;;;1/1;;658;;
-84732;1661;BEGUNJE PRI CERKNICI;CERKNICA;916;7;;;1/1;;1572;;
-84732;1661;BEGUNJE PRI CERKNICI;CERKNICA;914;7;;;1/1;;773;;
-84729;1632;OTOK I;CERKNICA;483/3;7;;;1/1;;1767;;
-84729;1632;OTOK I;CERKNICA;483/4;7;;;1/1;;3423;;
-84729;1632;OTOK I;CERKNICA;483/23;7;;;1/19;;1460;;
-84729;1632;OTOK I;CERKNICA;483/22;7;;;1/19;;995;;
-84728;1632;OTOK I;CERKNICA;1029;7;;;1/1;;20853;;
-84730;1632;OTOK I;CERKNICA;237;7;;;1/1;;14574;;
-84730;1632;OTOK I;CERKNICA;498/5;7;;;1/1;;7539;;
-84728;1632;OTOK I;CERKNICA;155;7;;;1/2;;14232;;
-84728;1632;OTOK I;CERKNICA;517;7;;;1/1;;1777;;
-84728;1632;OTOK I;CERKNICA;1012;7;;;1/1;;2046;;
-84728;1632;OTOK I;CERKNICA;195/2;7;;;1/2;;1475;;
-84728;1632;OTOK I;CERKNICA;533;7;;;1/1;;12081;;
-84726;1938;MENGEŠ;MENGEŠ;880/15;5;;;1/1;;214;;
-84677;2606;SEMEDELA;KOPER;4440/2;5;;;1/1;;74;;
-84721;2005;BREG;BOROVNICA;286;3;;;1/1;;2056;;
-84719;2015;GORENJI LOGATEC;LOGATEC;744/15;5;;;1/1;;1183;;
-84707;1707;IŠKA VAS;LJUBLJANA;1642/98;3;;;2/5;;525;;
-84705;2102;KOKRICA;KRANJ;248/3;3;;;1/1;;167;;
-84705;2102;KOKRICA;KRANJ;248/5;5;;;1/1;;80;;
-84705;2102;KOKRICA;KRANJ;248/5;5;;;1/1;;357;;
-84696;1741;VODICE;LJUBLJANA;1270/27;3;;;1/1;;541;;
-84695;246;BORECI;MURSKA SOBOTA;346/2;3;;;1/1;;726;;
-84695;246;BORECI;MURSKA SOBOTA;346/1;3;;;1/1;;726;;
-84691;656;BREZJE;MARIBOR;1180/1;5;;;1/1;;368;;
-84683;967;KAVČE;VELENJE;129/1;3;;;1/1;;494;;
-84677;2606;SEMEDELA;KOPER;4440/2;5;;;1/1;;42;;
-84677;2606;SEMEDELA;KOPER;4440/3;5;;;1/1;;19;;
-84677;2606;SEMEDELA;KOPER;4445;5;;;1/1;;83;;
-84668;1500;DOBINDOL;NOVO MESTO;3576/6;5;;;1/1;;3633;;
-84670;1485;GOTNA VAS;NOVO MESTO;190/6;5;;;1/1;;898;;
-84670;1485;GOTNA VAS;NOVO MESTO;190/6;5;;;1/1;;110;;
-84670;1485;GOTNA VAS;NOVO MESTO;190/6;5;;;1/1;;26;;
-84669;1508;BOJANJA VAS;METLIKA;566;7;;;1/1;;3172;;
-84669;1508;BOJANJA VAS;METLIKA;*133;7;;;1/1;;97;;
-80023;1799;VIDEM DOBREPOLJE;DOBREPOLJE;392/17;3;;;1/1;;162;;
-79519;669;LOVRENC NA POHORJU;LOVRENC NA POHORJU;190/1;7;;;1/1;;1780;;
-80025;2304;NOVA GORICA;NOVA GORICA;1436/2;3;;;1/16;;332;;
-80025;2304;NOVA GORICA;NOVA GORICA;1436/7;3;;;1/1;;15;;
-80017;1735;STOŽICE;LJUBLJANA;754/9;5;;;1/1;;171;;
-80024;1799;VIDEM DOBREPOLJE;DOBREPOLJE;392/24;3;;;1/1;;110;;
-80024;1799;VIDEM DOBREPOLJE;DOBREPOLJE;392/23;3;;;1/1;;241;;
-80010;950;PLEŠIVEC;VELENJE;791/6;3;;;1/1;;465;;
-79523;1838;LITIJA;LITIJA;433/5;5;;;1/1;;266;;
-79523;1838;LITIJA;LITIJA;433/1;5;;;1/1;;219;;
-79522;704;ČRETA;HOČE-SLIVNICA;147/3;3;;;1/1;;932;;
