ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
-84919;1;31.12.2007;02.07.2007;4000;0;;;;;;23.07.2015;31.12.2007;1;4
-84896;1;31.12.2007;30.11.2007;5760;0;;;;;;23.07.2015;31.12.2007;1;4
-84887;1;31.12.2007;03.12.2007;89000;0;;;;;;23.07.2015;31.12.2007;1;4
-84867;1;30.12.2007;17.12.2007;105000;0;;;;;;23.07.2015;30.12.2007;1;4
-84817;1;27.12.2007;24.12.2007;56000;0;;;;;;23.07.2015;27.12.2007;1;4
-84813;1;27.12.2007;05.11.2007;57886,92;0;;;;V polje "Številka dela stavbe" sem vpisala 14, ker ne vem dela stavbe (stanovanje ima št. 14 - nahaja se v nadstropju (št. stan. n14), vknjižba etažne lastnine v postopku (Plomba - 3756/2007 datum začetka ZK postopka: 21.12.2007 12:00 datum vpisa plombe: 21.12.2007).  ;;23.07.2015;27.12.2007;1;4
-84804;1;27.12.2007;29.06.2007;72893,01;0;;;;V polje "Številka dela stavbe" sem vpisala 32, ker ne vem dela stavbe (stanovanje ima št. 32 - nahaja se v 2. mansardi(št. stan. 2m32), vknjižba etažne lastnine v postopku (Plomba - 3756/2007 datum začetka ZK postopka: 21.12.2007 12:00 datum vpisa plombe: 21.12.2007).;;23.07.2015;27.12.2007;1;4
-84803;1;27.12.2007;13.06.2007;187249,63;0;;;;dvosobno stanovanje;;23.07.2015;27.12.2007;1;4
-84793;1;27.12.2007;20.12.2007;165000;0;;;;Gre za prodajo dvosobnega stanovanja v stanovanjski hiši na naslovu Rožna dolina, cesta X/19 v Ljubljani s pripdajaočim zemljiščem.;;23.07.2015;27.12.2007;1;4
-84784;1;24.12.2007;17.12.2007;38000;0;;;;;;23.07.2015;24.12.2007;1;4
-84781;1;24.12.2007;06.03.2007;71982,97;0;;;;;;23.07.2015;24.12.2007;1;4
-84778;1;24.12.2007;24.12.2007;46000;0;;;;;;23.07.2015;24.12.2007;1;4
-84757;1;24.12.2007;20.12.2007;35000;0;;;;;;23.07.2015;24.12.2007;1;4
-84731;1;21.12.2007;20.12.2007;757,22;0;;;;;;23.07.2015;21.12.2007;1;4
-84728;1;21.12.2007;20.12.2007;2699,27;0;;;;;;23.07.2015;21.12.2007;1;4
-84726;1;21.12.2007;17.12.2007;200000;0;;;;;;23.07.2015;21.12.2007;1;4
-84691;1;21.12.2007;17.11.2007;105000;0;;;;Predmet prodaje je hiša v Brezju. Kupec je položil aro, ki se šteje kot prvi del kupnine. Hiša je z zemljiščem;;23.07.2015;21.12.2007;1;4
-84670;1;20.12.2007;28.11.2007;250000;0;;;;;;23.07.2015;20.12.2007;1;4
-80023;1;20.12.2007;17.12.2007;84141;0;;;;;;23.07.2015;20.12.2007;1;4
-79533;1;20.12.2007;17.12.2007;40000;0;;;;;;23.07.2015;20.12.2007;1;4
-79477;1;19.12.2007;12.12.2007;111000;0;;;;;;23.07.2015;19.12.2007;1;4
-79440;1;18.12.2007;30.11.2007;120000;0;;;;;;23.07.2015;18.12.2007;1;4
-79426;1;18.12.2007;20.11.2007;186185;0;;;;;;23.07.2015;18.12.2007;1;4
-79406;1;18.12.2007;05.12.2007;185000;0;;;;Prodaja v sodelovanju z posrednico iz agencije LIKOF - ima kupce;;23.07.2015;18.12.2007;1;4
-79395;1;17.12.2007;04.12.2007;226900;0;;;;;;23.07.2015;17.12.2007;1;4
-79369;1;17.12.2007;14.12.2007;9272;0;;;;;;23.07.2015;17.12.2007;1;4
-79360;1;17.12.2007;05.12.2007;83570;0;;;;;;23.07.2015;17.12.2007;1;4
-79352;1;17.12.2007;01.12.2007;1,85;0;;;;;;23.07.2015;17.12.2007;1;4
-79332;1;17.12.2007;07.11.2007;159000;0;;;;;;23.07.2015;17.12.2007;1;4
-79295;1;16.12.2007;11.12.2007;183000;0;;;;;;23.07.2015;16.12.2007;1;4
-79284;1;15.12.2007;23.11.2007;125080;0;;;;Prodaja vrstne hiše - novogradnja. Stavba še nima identifikacijske številke.  Od pogodbene cene je odštet 8,5 % davek na promet nepremičnin in stroški priprave pogodbe v višini 420,00 EUR skupaj  z ddv. ;;23.07.2015;15.12.2007;1;4
-79256;1;14.12.2007;17.10.2007;102500;0;;;;;;23.07.2015;14.12.2007;1;4
-79253;1;14.12.2007;13.11.2007;125000;0;;;;;;23.07.2015;14.12.2007;1;4
-79243;1;14.12.2007;15.10.2007;80000;0;;;;PS00151BV;;23.07.2015;14.12.2007;1;4
-79222;1;14.12.2007;27.08.2007;136500;0;;;;;;23.07.2015;14.12.2007;1;4
-79212;1;14.12.2007;11.12.2007;8800;0;;;;;;23.07.2015;14.12.2007;1;4
-79210;1;14.12.2007;25.10.2007;460000;0;;;;;;23.07.2015;14.12.2007;1;4
-79208;1;14.12.2007;03.12.2007;55000;0;;;;;;23.07.2015;14.12.2007;1;4
-79203;1;14.12.2007;22.11.2007;22500;0;;;;;;23.07.2015;14.12.2007;1;4
-79198;1;14.12.2007;07.12.2007;375000;0;;;;;;23.07.2015;14.12.2007;1;4
-79146;1;14.12.2007;21.12.2007;59000;0;;;;;;23.07.2015;14.12.2007;1;4
-79120;1;14.12.2007;14.11.2007;7900;0;;;;;;23.07.2015;14.12.2007;1;4
-79107;1;14.12.2007;05.11.2007;110;0;;;;;;23.07.2015;14.12.2007;1;4
-79081;1;14.12.2007;26.11.2007;157000;0;;;;;;23.07.2015;14.12.2007;1;4
-79074;1;13.12.2007;12.11.2007;587652;0;;;;;;23.07.2015;13.12.2007;1;4
-79070;1;13.12.2007;17.11.2007;46700;0;;;;;;23.07.2015;13.12.2007;1;4
-79063;1;13.12.2007;08.11.2007;144700,46;0;;;;;;23.07.2015;13.12.2007;1;4
-79047;1;13.12.2007;14.11.2007;2500;0;;;;;;23.07.2015;13.12.2007;1;4
-79041;1;13.12.2007;05.11.2007;420000;0;;;;Podatki so privzeti iz pogodbe in zemljiške knjige. Predmet kupo-prodajne pogodbe je parcela v velikosti 1738m2, ki stoji na parcelni številki 1064 in parcela v velikosti 1139m2, ki stoji na parcelni številki 1056/1.;;23.07.2015;13.12.2007;1;4
-79029;1;13.12.2007;06.11.2007;128300;0;;;;na parc.št. 600/25 stoji pokriti nadstrešek za en avtomobil v izmeri 17 m2 (drži se še drugih nadstreškov ima pa svojo parc. št.). Ker ne gre za samostojno garažo, smo v rubriki "namembnost stavbe" označili, da gre za "drugo". ;;23.07.2015;13.12.2007;1;4
-79025;1;13.12.2007;23.11.2007;44175;0;;;;;;23.07.2015;13.12.2007;1;4
-79002;1;13.12.2007;12.11.2007;9126,6;0;;;;Podatki so privzeti iz pogodbe in zemljiške knjige. PRedmet kupo-prodajne pogodbe je parkirni prostor v velikosti 13,85m2 z oznako E.19.;;23.07.2015;13.12.2007;1;4
-78970;1;13.12.2007;28.11.2007;50000;0;;;;ni še urejeno na durs-u;;23.07.2015;13.12.2007;1;4
-78952;1;13.12.2007;30.11.2007;130000;0;;;;;;23.07.2015;13.12.2007;1;4
-78942;1;13.12.2007;06.12.2007;95000;0;;;;;;23.07.2015;13.12.2007;1;4
-78912;1;13.12.2007;14.11.2007;1030000;0;;;;;;23.07.2015;13.12.2007;1;4
-78901;1;13.12.2007;05.11.2007;80000;0;;;;notarski zapis;;23.07.2015;13.12.2007;1;4
-78847;1;12.12.2007;19.11.2007;43420;0;;;;;;23.07.2015;12.12.2007;1;4
-78782;1;12.12.2007;14.11.2007;60000;0;;;;;;23.07.2015;12.12.2007;1;4
-78765;1;12.12.2007;28.11.2007;85000;0;;;;;;23.07.2015;12.12.2007;1;4
-78752;1;12.12.2007;09.11.2007;269000;0;;;;;;23.07.2015;12.12.2007;1;4
-78722;1;11.12.2007;05.12.2007;89610;0;;;;;;23.07.2015;11.12.2007;1;4
-78707;1;11.12.2007;23.10.2007;235000;0;;;;;;23.07.2015;11.12.2007;1;4
-78644;1;10.12.2007;19.10.2007;240000;0;;;;;;23.07.2015;10.12.2007;1;4
-78638;1;10.12.2007;28.09.2007;206000;0;;;;;;23.07.2015;10.12.2007;1;4
-78617;1;08.12.2007;26.11.2007;71500;0;;;;;;23.07.2015;08.12.2007;1;4
-78611;1;08.12.2007;26.11.2007;108044,97;0;;;;;;23.07.2015;08.12.2007;1;4
-78608;1;08.12.2007;29.11.2007;33000;0;;;;;;23.07.2015;08.12.2007;1;4
-78606;1;08.12.2007;27.11.2007;40000;0;;;;;;23.07.2015;08.12.2007;1;4
-78603;1;07.12.2007;14.11.2007;125000;0;;;;;;23.07.2015;07.12.2007;1;4
-78596;1;07.12.2007;27.11.2007;26000;0;;;;;;23.07.2015;07.12.2007;1;4
-78595;1;07.12.2007;19.11.2007;37000;0;;;;;;23.07.2015;07.12.2007;1;4
-78587;1;07.12.2007;24.11.2007;20900;0;;;;;;23.07.2015;07.12.2007;1;4
-78581;1;07.12.2007;23.11.2007;250000;0;;;;;;23.07.2015;07.12.2007;1;4
-78561;1;06.12.2007;27.11.2007;24960;0;;;;;;23.07.2015;06.12.2007;1;4
-78546;1;06.12.2007;27.11.2007;9000;0;;;;;;23.07.2015;06.12.2007;1;4
-78536;1;06.12.2007;14.08.2007;120000;0;;;;delno renovirano, lepo vzdrževano;;23.07.2015;06.12.2007;1;4
-78528;1;06.12.2007;05.12.2007;160178,55;0;;;;;;23.07.2015;06.12.2007;1;4
-78491;1;05.12.2007;30.11.2007;158333,33;0;;;;;;23.07.2015;05.12.2007;1;4
-78486;1;05.12.2007;27.06.2007;134000;0;;;;prvotno stanje, zelo urejen blok;;23.07.2015;05.12.2007;1;4
-78479;1;05.12.2007;27.11.2007;37000;0;;;;;;23.07.2015;05.12.2007;1;4
-78417;1;05.12.2007;01.06.2007;70939,74;0;;;;;;23.07.2015;05.12.2007;1;4
-78415;1;05.12.2007;29.11.2007;66738,22;0;;;;;;23.07.2015;05.12.2007;1;4
-78319;1;04.12.2007;03.09.2007;52000;0;;;;;;23.07.2015;04.12.2007;1;4
-78301;1;04.12.2007;13.03.2007;60000;0;;;;;;23.07.2015;04.12.2007;1;4
-78264;1;03.12.2007;22.10.2007;90000;0;;;;;;23.07.2015;03.12.2007;1;4
-78228;1;03.12.2007;05.09.2007;114120;0;;;;Solastniški delež smo določili sami, ker ni podatka!!;;23.07.2015;03.12.2007;1;4
-78226;1;03.12.2007;14.08.2007;80000;0;;;;Solastniški delež smo zračunali sami saj ni podatka!!;;23.07.2015;03.12.2007;1;4
-78220;1;03.12.2007;03.12.2007;68688,91;0;;;;;;23.07.2015;03.12.2007;1;4
-78168;1;01.12.2007;26.11.2007;30045,6;0;;;;;;23.07.2015;01.12.2007;1;4
-78145;1;30.11.2007;26.11.2007;100000;0;;;;Zemljišče in stanovanjska stavba s hišno številko Dvor 20 C ter gospodarsko poslopje se prodaja za skupno kupnino 100.000,00 EUR in ni mogoče določiti, kolikšen del kupnine odpade na zemljišče, kolikšen del na stanovanjsko hišo in kolikšen del na gospodarsko poslopje.;;23.07.2015;30.11.2007;1;4
-78114;2;29.11.2007;19.11.2007;16941,6;0;;;;;;23.07.2015;29.11.2007;1;4
-78029;1;28.11.2007;23.11.2007;133000;0;;;;;;23.07.2015;28.11.2007;1;4
-78009;1;27.11.2007;20.03.2007;524861,47;0;;;;Novogradnja;;23.07.2015;27.11.2007;1;4
-78006;1;01.03.2007;16.11.2007;100000;0;;;;;;23.07.2015;01.03.2007;1;4
-78000;1;27.11.2007;29.10.2007;100000;0;;;;;;23.07.2015;27.11.2007;1;4
-77967;1;26.11.2007;12.11.2007;35000;0;;;;;;23.07.2015;26.11.2007;1;4
-77947;1;24.11.2007;29.10.2007;3000;0;;;;;;23.07.2015;24.11.2007;1;4
-77935;1;24.11.2007;06.10.2007;1500;0;;;;;;23.07.2015;24.11.2007;1;4
-77934;1;24.11.2007;05.10.2007;93366;0;;;;;;23.07.2015;24.11.2007;1;4
-77880;1;22.11.2007;09.08.2007;100;0;;;;;;23.07.2015;22.11.2007;1;4
-77850;1;22.11.2007;19.11.2007;48000;0;;;;;;23.07.2015;22.11.2007;1;4
-77848;1;22.11.2007;21.11.2007;145000;0;;;;;;23.07.2015;22.11.2007;1;4
-77819;1;21.11.2007;03.09.2007;72421;0;;;;;;23.07.2015;21.11.2007;1;4
-77804;1;21.11.2007;06.11.2007;9015;0;;;;;;23.07.2015;21.11.2007;1;4
-77791;1;21.11.2007;18.09.2007;141879,48;0;;;;;;23.07.2015;21.11.2007;1;4
-77790;1;21.11.2007;05.11.2007;2016;0;;;;;;23.07.2015;21.11.2007;1;4
-77773;1;20.11.2007;13.11.2007;307200;0;;;;Nepremičnina se je odtujila z bremenom vred (pravico izgraddnje stanovanja nad delavnico).;;23.07.2015;20.11.2007;1;4
-77724;1;20.11.2007;08.10.2007;95140;0;;;;pogodbeni pogoji so bili izpolnjeni 07.11.2007;;23.07.2015;20.11.2007;1;4
-77721;1;20.11.2007;03.08.2007;108496;0;;;;;;23.07.2015;20.11.2007;1;4
-77687;1;19.11.2007;22.10.2007;144000;0;;;;;;23.07.2015;19.11.2007;1;4
-77673;1;19.11.2007;25.10.2007;35200;0;;;;;;23.07.2015;19.11.2007;1;4
-57678;1;15.11.2007;09.11.2007;8000;0;;;;;;23.07.2015;15.11.2007;1;4
-57674;2;15.11.2007;09.10.2007;38175,78;0;;;;;;23.07.2015;15.11.2007;1;4
-57648;1;15.11.2007;18.10.2007;3500;0;;;;;;23.07.2015;15.11.2007;1;4
-57534;1;15.11.2007;18.09.2007;68000;0;;;;;;23.07.2015;15.11.2007;1;4
-57530;1;15.11.2007;23.10.2007;450000;0;;;;NOTARSKI ZAPIS  ;;23.07.2015;15.11.2007;1;4
-57528;1;15.11.2007;26.10.2007;62000;0;;;;;;23.07.2015;15.11.2007;1;4
-57519;1;15.11.2007;24.10.2007;1183000;0;;;;NOTARSKI ZAPIS;;23.07.2015;15.11.2007;1;4
-57502;1;14.11.2007;24.10.2007;30020;0;;;;;;23.07.2015;14.11.2007;1;4
-57500;1;14.11.2007;18.10.2007;87000;0;;;;stanovanjska stavba l.1939, staromeščansko stanovanje v prvotnem stanju, vzdrževano, obnovljena le okna in nova etažna CK, prodaja solastnine, etažna lastnina v postopku urejanja;;23.07.2015;14.11.2007;1;4
-57454;1;14.11.2007;12.10.2007;81300;0;;;;;;23.07.2015;14.11.2007;1;4
-57412;1;14.11.2007;01.10.2007;843771,5;0;;;;;;23.07.2015;14.11.2007;1;4
-57360;1;14.11.2007;24.10.2007;112000;0;;;;;;23.07.2015;14.11.2007;1;4
-57356;1;14.11.2007;22.10.2007;65011,8;0;;;;;;23.07.2015;14.11.2007;1;4
-57353;1;14.11.2007;13.11.2007;38792;0;;;;;;23.07.2015;14.11.2007;1;4
-57352;1;14.11.2007;19.10.2007;3500;0;;;;;;23.07.2015;14.11.2007;1;4
-57346;1;14.11.2007;24.10.2007;96964,58;0;;;;;;23.07.2015;14.11.2007;1;4
-57343;1;14.11.2007;18.10.2007;53128;0;;;;;;23.07.2015;14.11.2007;1;4
-57322;1;14.11.2007;11.10.2007;21000;0;;;;PRAVNI POSEL JE ZAKLJUČEN.;;23.07.2015;14.11.2007;1;4
-57269;1;13.11.2007;05.10.2007;40000;0;;;;;;23.07.2015;13.11.2007;1;4
-57256;1;13.11.2007;30.10.2007;222500;0;;;;;;23.07.2015;13.11.2007;1;4
-57250;1;13.11.2007;10.10.2007;18180;0;;;;;;23.07.2015;13.11.2007;1;4
-57246;1;13.11.2007;05.10.2007;34468;0;;;;;;23.07.2015;13.11.2007;1;4
-57217;1;13.11.2007;03.10.2007;34468;0;;;;;;23.07.2015;13.11.2007;1;4
-57199;1;13.11.2007;10.10.2007;21497,8;0;;;;;;23.07.2015;13.11.2007;1;4
-57197;1;13.11.2007;10.10.2007;46707;0;;;;;;23.07.2015;13.11.2007;1;4
-57115;1;12.11.2007;12.10.2007;14600;0;;;;;;23.07.2015;12.11.2007;1;4
-57093;1;12.11.2007;09.11.2007;132500;0;;;;;;23.07.2015;12.11.2007;1;4
-57079;1;12.11.2007;10.10.2007;91162;0;;;;;;23.07.2015;12.11.2007;1;4
-57028;1;09.11.2007;07.11.2007;55000;0;;;;;;23.07.2015;09.11.2007;1;4
-57027;1;09.11.2007;14.09.2007;116860;0;;;;ZAZIDLJIVA POSEST;;23.07.2015;09.11.2007;1;4
-56967;1;08.11.2007;07.11.2007;120000;0;;;;;;23.07.2015;08.11.2007;1;4
-56948;1;08.11.2007;25.10.2007;137000;0;;;;;;23.07.2015;08.11.2007;1;4
-56942;1;08.11.2007;29.10.2007;1200;0;;;;;;23.07.2015;08.11.2007;1;4
-56931;1;07.11.2007;23.10.2007;99681,12;0;;;;;;23.07.2015;07.11.2007;1;4
-56930;1;07.11.2007;07.11.2007;50800;0;;;;;;23.07.2015;07.11.2007;1;4
-56858;1;07.11.2007;08.10.2007;63000;0;;;;;;23.07.2015;07.11.2007;1;4
-56811;1;06.11.2007;19.10.2007;18000;0;;;;;;23.07.2015;06.11.2007;1;4
-56790;1;05.11.2007;05.11.2007;67000;0;;;;;;23.07.2015;05.11.2007;1;4
-56758;1;05.11.2007;03.10.2007;2155,25;0;;;;;;23.07.2015;05.11.2007;1;4
-56713;1;05.11.2007;02.11.2007;46000;0;;;;;;23.07.2015;05.11.2007;1;4
-56697;1;03.11.2007;30.10.2007;14740;0;;;;;;23.07.2015;03.11.2007;1;4
-56668;1;02.11.2007;20.10.2007;39000;0;;;;;;23.07.2015;02.11.2007;1;4
-56632;1;01.11.2007;29.10.2007;100000;0;;;;;;23.07.2015;01.11.2007;1;4
-56627;1;31.10.2007;08.10.2007;800000;0;;;;NEDOKONČANA POSLOVNA STAVBA;;23.07.2015;31.10.2007;1;4
-56594;1;30.10.2007;03.10.2007;15000;0;;;;;;23.07.2015;30.10.2007;1;4
-56528;1;30.10.2007;10.10.2007;49500;0;;;;Predmet prodaje je stanovanje, ki se nahaja na Ljubljanski ulici 94/b v Mariboru. Kupec je plačal aro, ki se šteje kot prvi del kupnine. ;;23.07.2015;30.10.2007;1;4
-56520;1;29.10.2007;23.10.2007;80756;0;;;;;;23.07.2015;29.10.2007;1;4
-56518;1;29.10.2007;28.08.2007;20865;0;;;;;;23.07.2015;29.10.2007;1;4
-56517;1;29.10.2007;10.09.2007;51500;0;;;;;;23.07.2015;29.10.2007;1;4
-56464;1;29.10.2007;24.10.2007;50000;0;;;;;;23.07.2015;29.10.2007;1;4
-56458;1;28.10.2007;12.10.2007;119000;0;;;;;;23.07.2015;28.10.2007;1;4
-56454;1;28.10.2007;17.08.2007;84000;0;;;;;;23.07.2015;28.10.2007;1;4
-56445;1;26.10.2007;26.10.2007;70000;0;;;;;;23.07.2015;26.10.2007;1;4
-56407;1;26.10.2007;25.10.2007;87000;0;;;;;;23.07.2015;26.10.2007;1;4
-56400;1;25.10.2007;23.10.2007;92500;0;;;;;;23.07.2015;25.10.2007;1;4
-56271;1;24.10.2007;09.10.2007;80556;0;;;;;;23.07.2015;24.10.2007;1;4
-56231;1;23.10.2007;05.10.2007;6736800;0;;;;;;23.07.2015;23.10.2007;1;4
-56195;1;23.10.2007;06.09.2007;28470;0;;;;;;23.07.2015;23.10.2007;1;4
-56188;1;22.10.2007;16.11.2007;31041,5;0;;;;;;23.07.2015;22.10.2007;1;4
-56112;1;22.10.2007;08.10.2007;75000;0;;;;;;23.07.2015;22.10.2007;1;4
-54556;1;19.10.2007;18.10.2007;105000;0;;;;;;23.07.2015;19.10.2007;1;4
-54523;1;19.10.2007;22.05.2007;25037;0;;;;;;23.07.2015;19.10.2007;1;4
-54483;1;18.10.2007;17.10.2007;66700;0;;;;;;23.07.2015;18.10.2007;1;4
-54450;1;18.10.2007;19.09.2007;214500;0;;;;;;23.07.2015;18.10.2007;1;4
-54421;4;17.10.2007;06.09.2007;33385;0;;;;;;23.07.2015;17.10.2007;1;4
-54411;1;17.10.2007;19.09.2007;60000;0;;;;;;23.07.2015;17.10.2007;1;4
-54373;1;17.10.2007;14.08.2007;127912,65;0;;;;;;23.07.2015;17.10.2007;1;4
-54334;1;16.10.2007;26.09.2007;69000;0;;;;;;23.07.2015;16.10.2007;1;4
-54319;1;16.10.2007;05.09.2007;129000;0;;;;;;23.07.2015;16.10.2007;1;4
