ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
-623430;1661;BEGUNJE PRI CERKNICI;CERKNICA;244/4;9;;;1/1;;7745;;
-623430;1661;BEGUNJE PRI CERKNICI;CERKNICA;244/6;9;;;1/1;;10000;;
-623430;1661;BEGUNJE PRI CERKNICI;CERKNICA;244/5;9;;;1/1;;7760;;
-623430;1661;BEGUNJE PRI CERKNICI;CERKNICA;274/12;9;;;1/1;;103025;;
-623430;1661;BEGUNJE PRI CERKNICI;CERKNICA;400;7;;;1/1;;2003;;
-623430;1661;BEGUNJE PRI CERKNICI;CERKNICA;401;7;;;1/1;;1921;;
-623428;1723;VIČ;LJUBLJANA;711/12;6;;;1/1;;15;;
-623428;1723;VIČ;LJUBLJANA;711/20;6;;;1/1;;11;;
-623380;1166;ČAČA VAS;ROGAŠKA SLATINA;647;7;;;1/1;;863;;
-623425;1723;VIČ;LJUBLJANA;711/15;6;;;1/1;;13;;
-623425;1723;VIČ;LJUBLJANA;711/14;6;;;1/1;;13;;
-623415;920;MOZIRJE;MOZIRJE;632/67;6;;;1/1;;11;;
-623417;2632;SEČOVLJE;PIRAN;1400/1;5;;;1/1;;26;;
-623416;1880;KOLOVRAT;ZAGORJE OB SAVI;660/4;1;;;1/1;Zemljiška parcela je povezana s stavbno pravico.;170;;
-623386;1178;ROGATEC;ROGATEC;63/5;3;;;1/1;;119;;
-623386;1178;ROGATEC;ROGATEC;51/8;3;;;1/1;;452;;
-623384;1169;CEROVEC;ROGAŠKA SLATINA;1425/1;7;;;1/1;;1755;;
-623384;1169;CEROVEC;ROGAŠKA SLATINA;1429/1;7;;;1/1;;1049;;
-623384;1169;CEROVEC;ROGAŠKA SLATINA;1429/2;7;;;1/1;;320;;
-623384;1169;CEROVEC;ROGAŠKA SLATINA;1213/8;7;;;1/1;;76;;
-623382;1173;TLAKE;ROGATEC;181/5;7;;;1/1;;1494;;
-623382;1173;TLAKE;ROGATEC;181/8;7;;;1/1;;7401;;
-623380;1166;ČAČA VAS;ROGAŠKA SLATINA;645;7;;;1/1;;9542;;
-623380;1166;ČAČA VAS;ROGAŠKA SLATINA;642/1;7;;;1/1;;3906;;
-623379;1174;TRŠKA GORCA;ROGATEC;134;7;;;1/1;;5985;;
-623379;1174;TRŠKA GORCA;ROGATEC;132/2;7;;;1/1;;1861;;
-623378;1200;ŠMARJE PRI JELŠAH;ŠMARJE PRI JELŠAH;235/7;2;;;1/1;;209;;
-623378;1200;ŠMARJE PRI JELŠAH;ŠMARJE PRI JELŠAH;*276;5;;;1/1;;135;;
-623377;1185;PIJOVCI;ŠMARJE PRI JELŠAH;623;7;;;1/1;;732;;
-623377;1185;PIJOVCI;ŠMARJE PRI JELŠAH;616/3;7;;;1/1;;262;;
-623377;1185;PIJOVCI;ŠMARJE PRI JELŠAH;624;9;;;1/1;;3206;;
-623377;1185;PIJOVCI;ŠMARJE PRI JELŠAH;622/1;9;;;1/1;;1644;;
-623377;1185;PIJOVCI;ŠMARJE PRI JELŠAH;*92;5;;;1/1;;306;;
-623377;1185;PIJOVCI;ŠMARJE PRI JELŠAH;615;5;;;1/1;Po izjavi strank je stavba v naravi gospodarsko poslopje.;1547;;
-623374;1241;LASTNIČ;PODČETRTEK;*112/5;7;;;1/1;;50;;
-623377;1185;PIJOVCI;ŠMARJE PRI JELŠAH;614/2;7;;;1/1;;1115;;
-623376;1128;PONIKVA;ŠENTJUR;281;3;;;1/1;;281;;
-623376;1128;PONIKVA;ŠENTJUR;*73;3;;;1/1;;151;;
-623374;1241;LASTNIČ;PODČETRTEK;226/1;7;;;1/1;;623;;
-623374;1241;LASTNIČ;PODČETRTEK;226/3;7;;;1/1;;1123;;
-623377;1185;PIJOVCI;ŠMARJE PRI JELŠAH;622/2;7;;;1/1;;2184;;
-623377;1185;PIJOVCI;ŠMARJE PRI JELŠAH;616/2;7;;;1/1;;431;;
-623375;1235;DRENSKO REBRO;KOZJE;338;7;;;1/1;;360;;
-623375;1235;DRENSKO REBRO;KOZJE;339;7;;;1/1;;2050;;
-623374;1241;LASTNIČ;PODČETRTEK;225/2;7;;;1/1;;176;;
-623374;1241;LASTNIČ;PODČETRTEK;226/2;7;;;1/1;;1641;;
-623374;1241;LASTNIČ;PODČETRTEK;225/1;7;;;1/1;;243;;
-623374;1241;LASTNIČ;PODČETRTEK;226/4;5;;;1/1;Iz potrdila o namenski rabi zemljišča Občine Podčetrtek z dne 23.4.2012, št. 3501 - 0127/2012 izhaja, da je parc. št. 226/4 k.o. 1241 - Lastnič opredeljena kot kmetijsko zemljišče. V tem vnosu podatkov te parcele nisem navedel kot kmetijsko zemljišče, ampak kot stavbo št. 766, ki stoji na omenjeni parceli.;943;;
-623369;1834;KONJ;LITIJA;1135/4;5;;;1/2;;383;;
-623365;1840;POLŠNIK;LITIJA;777/1;3;;;1/1;;1226;;
-623365;1840;POLŠNIK;LITIJA;778;7;;;1/1;;284;;
-623365;1840;POLŠNIK;LITIJA;780;7;;;1/1;;611;;
-623365;1840;POLŠNIK;LITIJA;779;7;;;1/1;;1000;;
-623365;1840;POLŠNIK;LITIJA;777/2;5;;;1/1;;94;;
-623343;1884;LOKE PRI ZAGORJU;ZAGORJE OB SAVI;85/2;3;;;1/1;;9887;;
-623334;672;SMOLNIK;RUŠE;183/1;10;;;1/3;Kmetijsko in pozidano zemljišče;2775;;
-623361;2304;NOVA GORICA;NOVA GORICA;543/13;5;;;1/1;Gre za vmesno vrstno stanovanjsko hišo;182;;
-623344;1379;SEVNICA;SEVNICA;104/7;5;;;1/1;;417;;
-623343;1884;LOKE PRI ZAGORJU;ZAGORJE OB SAVI;69/5;3;;;1/1;;1517;;
-623343;1884;LOKE PRI ZAGORJU;ZAGORJE OB SAVI;69/4;3;;;1/1;;2225;;
-623343;1884;LOKE PRI ZAGORJU;ZAGORJE OB SAVI;58/5;3;;;1/1;;1737;;
-623343;1884;LOKE PRI ZAGORJU;ZAGORJE OB SAVI;58/27;3;;;1/1;;287;;
-623335;1552;ADLEŠIČI;ČRNOMELJ;1059/2;7;;;1/1;;4222;;
-623335;1552;ADLEŠIČI;ČRNOMELJ;1060/5;3;;;1/1;;756;;
-623335;1552;ADLEŠIČI;ČRNOMELJ;*33/1;3;;;1/1;;43;;
-623334;672;SMOLNIK;RUŠE;183/1;5;;;1/3;;2775;;
-623334;672;SMOLNIK;RUŠE;183/1;5;;;1/3;;2775;;
-623315;2394;VELIKE ŽABLJE;AJDOVŠČINA;*93;5;;;1/1;;61;;
-623296;1165;DREVENIK;ROGAŠKA SLATINA;581/7;7;;;1/1;;122;;
-623296;1165;DREVENIK;ROGAŠKA SLATINA;581/5;7;;;1/1;;47;;
-623295;1223;OREHOVEC;ŠMARJE PRI JELŠAH;387;7;;;1/1;;5442;;
-623274;2436;TOMAJ;SEŽANA;1454/6;3;;;1/1;;803;;
-623274;2436;TOMAJ;SEŽANA;1454/5;3;;;1/1;;707;;
-623255;2420;ŠTJAK;KOMEN;*203/1;3;;;1/1;;72;;
-623294;1191;GRLIČE;ŠMARJE PRI JELŠAH;653/1;3;;;1/1;;673;;
-623276;2560;HRPELJE;HRPELJE-KOZINA;325/7;3;;;1/1;;858;;
-623275;2563;TATRE;HRPELJE-KOZINA;890/1;7;;;1/2;;200;;
-623254;2448;GORNJE VREME;DIVAČA;1056/2;3;;;1/1;;715;;
-623254;2448;GORNJE VREME;DIVAČA;1056/1;3;;;1/1;;810;;
-623184;678;SPODNJE RADVANJE;MARIBOR;164;3;;;1/2;;513;;
-623182;678;SPODNJE RADVANJE;MARIBOR;161;1;;;1/6;;521;;
-623179;654;OREŠJE;MARIBOR;17/13;3;;;5812/20000;;255;;
