ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
-623423;1;31.12.2012;26.10.2012;138000;0;;;;;;23.07.2015;31.12.2012;1;4
-623416;4;31.12.2012;13.12.2012;162000;0;;;;;;23.07.2015;31.12.2012;1;4
-623384;1;29.12.2012;26.10.2012;1500;0;;;;Kupnina je določena za vse nepremičnine skupaj.;;23.07.2015;29.12.2012;1;4
-623374;1;29.12.2012;06.06.2012;6500;0;;;;Kupnina je določena za vse nepremičnine skupaj in je ni mogoče določiti za vsako posebej.;;23.07.2015;29.12.2012;1;4
-623367;1;28.12.2012;19.10.2012;75000;0;;;;;;23.07.2015;28.12.2012;1;4
-623366;1;28.12.2012;15.10.2012;22000;0;;;;;;23.07.2015;28.12.2012;1;4
-623314;1;24.12.2012;04.12.2012;40000;0;;;;;;23.07.2015;24.12.2012;1;4
-623254;1;21.12.2012;07.11.2012;170000;0;;;;;;23.07.2015;21.12.2012;1;4
-623184;4;20.12.2012;26.11.2012;75000;0;;;;;;23.07.2015;20.12.2012;1;4
-623114;1;18.12.2012;11.01.2012;17700;0;;;;;;23.07.2015;18.12.2012;1;4
-623074;1;17.12.2012;15.11.2012;80000;0;;;;;;23.07.2015;17.12.2012;1;4
-623072;1;17.12.2012;16.11.2012;42800;0;;;;;;23.07.2015;17.12.2012;1;4
-623071;1;17.12.2012;12.10.2012;15000;0;;;;;;23.07.2015;17.12.2012;1;4
-623058;1;17.12.2012;20.11.2012;116000;0;;;;;;23.07.2015;17.12.2012;1;4
-623049;1;17.12.2012;28.11.2012;140000;0;;;;;;23.07.2015;17.12.2012;1;4
-623042;1;17.12.2012;21.11.2012;438,3;0;;;;;;23.07.2015;17.12.2012;1;4
-623034;1;17.12.2012;30.10.2012;722,27;0;;;;;;23.07.2015;17.12.2012;1;4
-623032;1;17.12.2012;20.11.2012;5200;0;;;;;;23.07.2015;17.12.2012;1;4
-623030;1;17.12.2012;18.11.2012;800;0;;;;;;23.07.2015;17.12.2012;1;4
-623025;1;17.12.2012;14.11.2012;7500;0;;;;;;23.07.2015;17.12.2012;1;4
-623023;1;17.12.2012;11.11.2012;25000;0;;;;;;23.07.2015;17.12.2012;1;4
-622991;3;17.12.2012;29.11.2012;1215;0;;;;;;23.07.2015;17.12.2012;1;4
-622987;1;17.12.2012;05.11.2012;110000;0;;;;;;23.07.2015;17.12.2012;1;4
-622972;1;17.12.2012;29.11.2012;12000;0;;;;;;23.07.2015;17.12.2012;1;4
-622969;1;17.12.2012;19.11.2012;85000;0;;;;;;23.07.2015;17.12.2012;1;4
-622967;1;17.12.2012;11.11.2012;4375;0;;;;;;23.07.2015;17.12.2012;1;4
-622961;1;17.12.2012;23.11.2012;4060;0;;;;;;23.07.2015;17.12.2012;1;4
-622946;1;17.12.2012;14.11.2012;99000;0;;;;;;23.07.2015;17.12.2012;1;4
-622943;1;17.12.2012;29.10.2012;2000;0;;;;;;23.07.2015;17.12.2012;1;4
-622926;1;17.12.2012;23.10.2012;1311,23;0;;;;;;23.07.2015;17.12.2012;1;4
-622920;1;17.12.2012;14.11.2012;18616;0;;;;;;23.07.2015;17.12.2012;1;4
-622919;3;17.12.2012;17.04.2012;28409,28;0;;;;domik;;23.07.2015;17.12.2012;1;4
-622917;1;17.12.2012;14.09.2012;11502,04;0;;;;;;23.07.2015;17.12.2012;1;4
-622912;1;17.12.2012;15.11.2012;63000;0;;;;;;23.07.2015;17.12.2012;1;4
-622910;1;17.12.2012;13.11.2012;20615;0;;;;;;23.07.2015;17.12.2012;1;4
-622908;1;17.12.2012;14.11.2012;49000;0;;;;;;23.07.2015;17.12.2012;1;4
-622903;1;17.12.2012;17.10.2012;1000;0;;;;;;23.07.2015;17.12.2012;1;4
-622898;1;17.12.2012;31.07.2012;11268;0;;;;;;23.07.2015;17.12.2012;1;4
-622891;1;17.12.2012;07.11.2012;93000;0;;;;;;23.07.2015;17.12.2012;1;4
-622881;1;17.12.2012;28.09.2012;25000;0;;;;;;23.07.2015;17.12.2012;1;4
-622869;1;17.12.2012;23.08.2012;10500;0;;;;;;23.07.2015;17.12.2012;1;4
-622865;1;17.12.2012;12.11.2012;109515,2;0;;;;;;23.07.2015;17.12.2012;1;4
-622859;1;17.12.2012;22.10.2012;51000;0;;;;;;23.07.2015;17.12.2012;1;4
-622852;1;17.12.2012;12.11.2012;6000;0;;;;;;23.07.2015;17.12.2012;1;4
-622851;1;17.12.2012;06.11.2012;60720;0;;;;;;23.07.2015;17.12.2012;1;4
-622845;1;17.12.2012;29.10.2012;50000;0;;;;;;23.07.2015;17.12.2012;1;4
-622835;1;17.12.2012;03.10.2012;6792;0;;;;;;23.07.2015;17.12.2012;1;4
-622834;1;17.12.2012;13.09.2012;2700;0;;;;;;23.07.2015;17.12.2012;1;4
-622831;1;17.12.2012;23.10.2012;96000;0;;;;;;23.07.2015;17.12.2012;1;4
-622830;1;17.12.2012;05.06.2012;10000;0;;;;;;23.07.2015;17.12.2012;1;4
-622814;1;17.12.2012;17.10.2012;77000;0;;;;;;23.07.2015;17.12.2012;1;4
-622804;1;17.12.2012;19.10.2012;7000;0;;;;;;23.07.2015;17.12.2012;1;4
-622802;1;17.12.2012;28.09.2012;102000;0;;;;KUPOPRODAJNA POGODBA, POTRDILO OBČINE hRASTNIK, POPTRDILO O RABI ZEMLJIŠČA, IZPIS IZ GURS-a;;23.07.2015;17.12.2012;1;4
-622792;1;17.12.2012;19.09.2012;198;0;;;;;;23.07.2015;17.12.2012;1;4
-622778;1;17.12.2012;22.10.2012;75500;0;;;;;;23.07.2015;17.12.2012;1;4
-622776;1;17.12.2012;02.10.2012;0;0;;;;;;23.07.2015;17.12.2012;1;4
-622773;1;17.12.2012;26.10.2012;110000;0;;;;;;23.07.2015;17.12.2012;1;4
-622765;1;17.12.2012;19.10.2012;75000;0;;;;;;23.07.2015;17.12.2012;1;4
-622759;1;17.12.2012;22.10.2012;549;0;;;;;;23.07.2015;17.12.2012;1;4
-622758;1;17.12.2012;17.10.2012;30495;0;;;;;;23.07.2015;17.12.2012;1;4
-622756;1;17.12.2012;19.10.2012;95000;0;;;;;;23.07.2015;17.12.2012;1;4
-622749;1;17.12.2012;01.10.2012;8300;0;;;;;;23.07.2015;17.12.2012;1;4
-622745;1;17.12.2012;12.10.2012;68000;0;;;;;;23.07.2015;17.12.2012;1;4
-622741;1;17.12.2012;19.11.2012;200;0;;;;;;23.07.2015;17.12.2012;1;4
-622737;1;17.12.2012;20.11.2012;450000;0;;;;;;23.07.2015;17.12.2012;1;4
-622731;1;17.12.2012;13.11.2012;70000;0;;;;;;23.07.2015;17.12.2012;1;4
-622724;1;17.12.2012;20.11.2012;907;0;;;;;;23.07.2015;17.12.2012;1;4
-622714;1;17.12.2012;08.11.2012;80000;0;;;;;;23.07.2015;17.12.2012;1;4
-622703;1;17.12.2012;14.11.2012;72000;0;;;;;;23.07.2015;17.12.2012;1;4
-622679;1;17.12.2012;11.11.2012;88000;0;;;;;;23.07.2015;17.12.2012;1;4
-622677;1;17.12.2012;20.11.2012;5964;0;;;;;;23.07.2015;17.12.2012;1;4
-622669;1;17.12.2012;04.10.2012;2880;0;;;;;;23.07.2015;17.12.2012;1;4
-622658;1;17.12.2012;23.06.2012;4140;0;;;;;;23.07.2015;17.12.2012;1;4
-622630;1;17.12.2012;15.10.2012;10000;0;;;;;;23.07.2015;17.12.2012;1;4
-622628;1;17.12.2012;09.10.2012;2124,9;0;;;;;;23.07.2015;17.12.2012;1;4
-622606;1;17.12.2012;13.11.2012;40000;0;;;;;;23.07.2015;17.12.2012;1;4
-622603;1;17.12.2012;14.11.2012;3232,8;0;;;;;;23.07.2015;17.12.2012;1;4
-622594;1;17.12.2012;29.08.2012;20503;0;;;;;;23.07.2015;17.12.2012;1;4
-622568;1;17.12.2012;05.11.2012;115000;0;;;;;;23.07.2015;17.12.2012;1;4
-622524;1;17.12.2012;19.10.2012;120000;0;;;;IZ PARCŠT. 591/1 SO NASTALE PARC ŠT. 591/5 IN 591/6, NATO SE JE PARC. ŠT. 591/5 DELILA V 591/12 591/13 IN 591/14- TA JE TUDI PREDMET PRODAJE (301m2);;23.07.2015;17.12.2012;1;4
-622522;1;17.12.2012;19.10.2012;2180;0;;;;;;23.07.2015;17.12.2012;1;4
-622513;1;17.12.2012;18.10.2012;20000;0;;;;;;23.07.2015;17.12.2012;1;4
-622511;1;17.12.2012;10.10.2012;4000;0;;;;;;23.07.2015;17.12.2012;1;4
-622494;1;17.12.2012;12.10.2012;91542,15;0;;;;;;23.07.2015;17.12.2012;1;4
-622481;1;17.12.2012;17.10.2012;55000;0;;;;;;23.07.2015;17.12.2012;1;4
-622475;1;17.12.2012;18.10.2012;4200;0;;;;;;23.07.2015;17.12.2012;1;4
-622471;1;17.12.2012;28.08.2012;61,5;0;;;;;;23.07.2015;17.12.2012;1;4
-622460;1;17.12.2012;05.10.2012;106000;0;;;;;;23.07.2015;17.12.2012;1;4
-622433;1;17.12.2012;30.10.2012;55500;0;;;;;;23.07.2015;17.12.2012;1;4
-622431;4;17.12.2012;19.10.2012;51000;0;;;;;;23.07.2015;17.12.2012;1;4
-622427;1;17.12.2012;25.10.2012;1260;0;;;;;;23.07.2015;17.12.2012;1;4
-622421;1;17.12.2012;13.10.2012;7020;0;;;;;;23.07.2015;17.12.2012;1;4
-622415;1;17.12.2012;01.06.2012;500;0;;;;;;23.07.2015;17.12.2012;1;4
-622400;1;17.12.2012;09.10.2012;108000;0;;;;;;23.07.2015;17.12.2012;1;4
-622375;1;17.12.2012;08.11.2012;67500;0;;;;;;23.07.2015;17.12.2012;1;4
-622358;1;17.12.2012;06.11.2012;179809,6;0;;;;;;23.07.2015;17.12.2012;1;4
-622353;1;17.12.2012;16.10.2012;80000;0;;;;;;23.07.2015;17.12.2012;1;4
-622348;1;17.12.2012;24.10.2012;18000;0;;;;;;23.07.2015;17.12.2012;1;4
-622346;1;17.12.2012;17.10.2012;18000;0;;;;;;23.07.2015;17.12.2012;1;4
-622334;1;17.12.2012;26.11.2012;46000;0;;;;;;23.07.2015;17.12.2012;1;4
-622330;1;17.12.2012;16.11.2012;70000;0;;;;;;23.07.2015;17.12.2012;1;4
-622324;2;17.12.2012;20.11.2012;40500;0;;;;;;23.07.2015;17.12.2012;1;4
-622310;1;17.12.2012;23.11.2012;99000;0;;;;;;23.07.2015;17.12.2012;1;4
-622294;1;17.12.2012;26.11.2012;95432;0;;;;;;23.07.2015;17.12.2012;1;4
-622291;1;17.12.2012;19.11.2012;14000;0;;;;;;23.07.2015;17.12.2012;1;4
-622285;1;17.12.2012;19.11.2012;79000;0;;;;;;23.07.2015;17.12.2012;1;4
-622284;3;17.12.2012;14.03.2012;20000;0;;;;SKLEP O DOMIKU;;23.07.2015;17.12.2012;1;4
-622264;1;17.12.2012;14.11.2012;70000;0;;;;;;23.07.2015;17.12.2012;1;4
-622250;1;17.12.2012;21.09.2012;527;0;;;;;;23.07.2015;17.12.2012;1;4
-622238;1;17.12.2012;10.10.2012;12925,7;0;;;;;;23.07.2015;17.12.2012;1;4
-622224;1;17.12.2012;14.09.2012;1400;0;;;;;;23.07.2015;17.12.2012;1;4
-622212;1;17.12.2012;15.10.2012;122900;0;;;;;;23.07.2015;17.12.2012;1;4
-622211;1;17.12.2012;28.09.2012;4000;0;;;;;;23.07.2015;17.12.2012;1;4
-622210;1;17.12.2012;08.10.2012;15501;0;;;;;;23.07.2015;17.12.2012;1;4
-622197;1;17.12.2012;02.10.2012;58000;0;;;;;;23.07.2015;17.12.2012;1;4
-622186;4;17.12.2012;09.10.2012;5000;0;;;;;;23.07.2015;17.12.2012;1;4
-622180;1;17.12.2012;02.10.2012;30000;0;;;;;;23.07.2015;17.12.2012;1;4
-622176;1;17.12.2012;28.09.2012;23047,72;0;;;;;;23.07.2015;17.12.2012;1;4
-622124;1;17.12.2012;03.07.2012;7000;0;;;;;;23.07.2015;17.12.2012;1;4
-622097;4;17.12.2012;16.09.2012;20000;0;;;;;;23.07.2015;17.12.2012;1;4
-622094;1;17.12.2012;02.07.2012;1250,8;0;;;;;;23.07.2015;17.12.2012;1;4
-622089;1;17.12.2012;13.07.2012;2200;0;;;;;;23.07.2015;17.12.2012;1;4
-622083;1;17.12.2012;05.10.2012;6300;0;;;;;;23.07.2015;17.12.2012;1;4
-622078;1;17.12.2012;04.09.2012;1900;0;;;;;;23.07.2015;17.12.2012;1;4
-622072;1;17.12.2012;06.08.2012;2619,6;0;;;;;;23.07.2015;17.12.2012;1;4
